C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.14CEST22:27:39

 IdentList
----------

 # ;typed ident;            identifier             ;typ;             all types             ;     coord1 (ICRS,J2000/2000)      ;      coord4 (Gal,J2000/2000)      ;        pm         ;  plx  ; radvel  ;  redshift  ;    cz    ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;morph. type;#bib;#not
---;-----------;-----------------------------------;---;-----------------------------------;-----------------------------------;-----------------------------------;-------------------;-------;---------;------------;----------;------;------;------;------;------;---------------;-----------;----;----
71 ;HD 197037  ;HD 197037                          ;PM*;*,PM*,IR                           ;309.8873339438079 +42.2485482183058;081.6771788327946 +00.4128378161733;-62.898 -221.859   ;  30.10;9.09     ;0.000030    ;9.09      ;     ~;     ~;     ~; 6.61 ;     ~;G0             ;~ ~ ~      ;  47;   1
72 ;BD+15 2940 ;BD+15 2940                         ;*  ;*,IR                               ;240.0955723366012 +15.5469310608500;028.1045126782029 +44.7802401927512; 15.137 -41.902    ;   2.32;38.05    ;0.000127    ;38.05     ;     ~;10.12 ; 9.05 ;     ~;     ~;K0             ;~ ~ ~      ;  13;   1
73 ;HD 18742   ;HD 18742                           ;*  ;*,IR                               ;045.0444023474929 -20.8026039633567;207.8046899114826 -60.0046302913355;-19.724 -22.861    ;   6.12;-13.49   ;-0.000045   ;-13.49    ;     ~; 8.740; 7.81 ;     ~;     ~;G8/K0IV        ;~ ~ ~      ;  29;   1
74 ;HD 22049   ;* eps Eri                          ;BY*;**,*,PM*,V*,IR,X,*,BY*,X,*,Ro*,UV  ;053.2326873475 -09.4582586569      ;195.8446349088 -48.0512996091      ;  -975.17 19.49    ; 310.94;16.38    ;0.000055    ;16.38     ; 5.19 ; 4.61 ; 3.73 ; 3.00 ; 2.54 ;K2V            ;~ ~ ~      ;1708;   1
75 ;HD 233604  ;HD 233604                          ;*  ;*,IR                               ;137.4533703294171 +53.5682309732519;163.9354265561815 +41.8317989365741;  18.625 -6.817    ;   1.15;-74.36   ;-0.000248   ;-74.35    ;     ~;11.33 ;10.29 ;     ~;     ~;K5             ;~ ~ ~      ;  10;   1
76 ;HD 30856   ;HD 30856                           ;RG*;*,RG*,IR                           ;072.5744230063971 -24.3688426798292;224.2720859462527 -36.6538932562445; 18.392 -19.853    ;   7.59;35.71    ;0.000119    ;35.71     ;     ~; 8.872; 7.911;     ~;     ~;K0III          ;~ ~ ~      ;  26;   1
77 ;HD 212771  ;HD 212771                          ;PM*;*,PM*,IR                           ;336.7628009494246 -17.2636564393319;041.7945400522900 -55.2911669118317;-86.053 -104.084   ;   8.97;14.99    ;0.000050    ;14.99     ;     ~; 8.48 ; 7.60 ;     ~; 8.66 ;G8IV           ;~ ~ ~      ;  36;   1
78 ;HD 290327  ;HD 290327                          ;PM*;*,PM*,IR                           ;080.8398494841450 -02.2776204910253;204.6126058063543 -20.5812915100639; 32.312 -97.224    ;  17.69;29.48    ;0.000098    ;29.48     ;     ~; 9.73 ; 8.94 ;     ~;     ~;G0             ;~ ~ ~      ;  38;   1
79 ;BD+20 594  ;BD+20 594                          ;PM*;*,*,*iC,PM*,IR                     ;053.6509549227671 +20.5992416035369;166.7962925331824 -28.0534163335345; 36.571 -51.365    ;   5.54;-19.94   ;-0.000067   ;-19.94    ;     ~;11.77 ;10.85 ;     ~;     ~;K0             ;~ ~ ~      ;  11;   0
80 ;HD 217786  ;HD 217786                          ;PM*;*,*,PM*,IR                         ;345.7841960005321 -00.4296327031400;074.1942352322305 -52.7356610881674;-89.933 -168.781   ;  17.99;9.93     ;0.000033    ;9.93      ;     ~; 8.360; 7.779; 7.60 ;     ~;F8V            ;~ ~ ~      ;  53;   1
81 ;HD 38283   ;HD 38283                           ;PM*;*,*,PM*,PM*,IR                     ;084.2584034297042 -73.6993458047286;284.8217718908371 -31.1536305749565;138.785 -108.526   ;  26.24;61.40    ;0.000205    ;61.41     ;     ~; 7.26 ; 6.696;     ~; 8.35 ;F9.5V          ;~ ~ ~      ;  60;   1
82 ;HD 17926   ;HD 17926                           ;PM*;*,PM*,IR                           ;042.9843600888717 -30.8145164120237;228.1414726734857 -63.4690516398549;123.229 105.788    ;  31.26;10.07    ;0.000034    ;10.07     ;     ~; 6.862; 6.382;     ~;     ~;F6V            ;~ ~ ~      ;  37;   0
83 ;HD 145457  ;HD 145457                          ;*  ;*,IR                               ;242.5163098867217 +26.7427482548681;044.3015399042428 +46.0301731925961; -18.336 36.824    ;   7.36;-3.15    ;-0.000011   ;-3.15     ;     ~; 7.61 ; 6.565; 6.91 ;     ~;K0III          ;~ ~ ~      ;  42;   1
84 ;HD 137759  ;* iot Dra                          ;V* ;*,IR,UV,**,V*                      ;231.2323942771 +58.9660651236      ;093.9710631271 +48.6277769601      ;    -8.36 17.08    ;  32.23;-10.91   ;-0.000036   ;-10.91    ; 5.68 ; 4.45 ; 3.29 ; 2.51 ; 1.91 ;K2III          ;~ ~ ~      ; 370;   1
85 ;HD 72490   ;HD 72490                           ;*  ;*,IR                               ;128.4027168852850 +13.5507890425413;211.7963133700219 +28.6797428139068; 25.239 -16.290    ;   7.89;31.82    ;0.000106    ;31.82     ;     ~; 8.74 ; 7.83 ;     ~;     ~;G5             ;~ ~ ~      ;  16;   0
86 ;HD 219077  ;HD 219077                          ;PM*;*,*,PM*,PM*,IR                     ;348.5274498839120 -62.7000034492483;320.4059548698882 -50.9984701223040;478.174 -424.148   ;  34.23;-31.01   ;-0.000103   ;-31.01    ;     ~; 6.91 ; 6.12 ;     ~;     ~;G8V+           ;~ ~ ~      ;  90;   1
87 ;HD 154345  ;HD 154345                          ;PM*;*,*,PM*,PM*,PM*,V*,IR              ;255.6516829366242 +47.0818785219314;073.0222620947324 +37.6634585514806;123.204 853.742    ;  54.66;-46.88   ;-0.000156   ;-46.88    ;     ~; 7.50 ;     ~; 6.3  ;     ~;G9             ;~ ~ ~      ; 234;   1
88 ;HIP 109600 ;BD+28 4312                         ;PM*;*,PM*,IR                           ;333.0260511704645 +29.0658112866058;085.7618604314719 -22.0760980960142; 208.654 92.186    ;  15.05;-70.08   ;-0.000234   ;-70.07    ;     ~;     ~;     ~; 8.7  ;     ~;G5             ;~ ~ ~      ;   8;   0
89 ;HD 23079   ;HD 23079                           ;PM*;*,*,PM*,IR                         ;054.9295668784696 -52.9158378186031;264.3192523546792 -49.6524876492138;-192.877 -92.103   ;  29.86;0.65     ;0.000002    ;0.65      ;     ~; 7.68 ; 7.11 ;     ~;     ~;F9.5V          ;~ ~ ~      ; 137;   1
90 ;HD 33564   ;HD 33564                           ;PM*;X,X,**,**,*,*,PM*,IR,UV            ;080.6397042038696 +79.2311507382064;133.7344488997124 +22.6479910702821;-78.386 162.118    ;  47.70;-10.93   ;-0.000036   ;-10.93    ;     ~;     ~;     ~; 4.8  ;     ~;F7V            ;~ ~ ~      ; 148;   1
91 ;HD 76920   ;HD 76920                           ;*  ;*,IR                               ;133.8200712734237 -67.2654721343367;282.9518190659180 -14.0999143207139;  25.284 25.567    ;   5.41;20.09    ;0.000067    ;20.09     ;     ~; 8.93 ; 7.82 ;     ~;     ~;K1III          ;~ ~ ~      ;  10;   0
92 ;HD 141680  ;* ome Ser                          ;PM*;*,PM*,IR                           ;237.5731103862442 +02.1965108478931;010.5379737548814 +40.5013449107790; 30.598 -48.052    ;  13.00;-3.65    ;-0.000012   ;-3.65     ;     ~; 6.236; 5.217;     ~;     ~;K0IV           ;~ ~ ~      ; 115;   1
93 ;BD+24 4697 ;BD+24 4697                         ;PM*;*,PM*,IR                           ;345.4138421796833 +25.7879279385417;094.0242712428730 -30.8497916571244;218.280 -173.463   ;  22.33;-38.38   ;-0.000128   ;-38.38    ;     ~;     ~;     ~; 9.2  ;     ~;K2             ;~ ~ ~      ;  13;   0
94 ;HD 175541  ;HD 175541                          ;PM*;*,PM*,PM*,IR                       ;283.9203501864425 +04.2653228551219;037.2115050695766 +01.0016801102044; -6.744 -90.226    ;   7.69;19.76    ;0.000066    ;19.76     ;     ~; 8.90 ; 8.00 ;     ~;     ~;G6/8IV         ;~ ~ ~      ;  96;   1
95 ;HD 20781   ;HD 20781                           ;** ;**,*,PM*,PM*,PM*,IR                ;050.0122617 -28.7838306            ;224.6724677 -57.2733662            ;348.905 -66.613    ;  27.95;40.14    ;0.000134    ;40.14     ;     ~; 9.263; 8.44 ; 8.17 ; 8.43 ;G9.5V          ;~ ~ ~      ;  84;   1
96 ;HD 18015   ;HD 18015                           ;PM*;**,*,PM*,IR                        ;043.3633591753334 -08.8480204083411;186.3187063816932 -55.8755112607940;  63.053 -4.359    ;   8.05;18.88    ;0.000063    ;18.88     ;     ~; 8.57 ; 7.90 ;     ~;     ~;G6IV           ;~ ~ ~      ;  20;   1
97 ;HD 27631   ;HD 27631                           ;PM*;*,PM*,IR                           ;064.9394554723650 -41.9602643122319;246.3237506499357 -45.3649048620269;-41.229 -91.988    ;  19.86;21.08    ;0.000070    ;21.08     ;     ~; 8.914; 8.24 ; 8.38 ;     ~;G3IV/V         ;~ ~ ~      ;  43;   1
98 ;HD 156411  ;HD 156411                          ;PM*;*,*,PM*,IR                         ;259.9641679955129 -48.5493205000461;340.7911375195738 -06.4631210252308;-33.184 -211.549   ;  17.56;-38.81   ;-0.000129   ;-38.81    ;     ~; 7.29 ; 6.67 ;     ~;     ~;G1V(w)         ;~ ~ ~      ;  56;   1
99 ;HD 7449    ;HD 7449                            ;PM*;*,*,PM*,IR,UV                      ;018.6221759376821 -05.0473930012672;137.9187854096723 -67.2460013964777;-164.483 -134.376  ;  25.84;-19.82   ;-0.000066   ;-19.82    ;     ~; 8.08 ; 7.48 ;     ~;     ~;F9.5V          ;~ ~ ~      ;  77;   2
100;HD 25171   ;HD 25171                           ;PM*;*,*,PM*,IR                         ;058.9560011038075 -65.1866747508358;278.8055985904577 -42.2901951796819; 143.943 81.497    ;  17.95;43.58    ;0.000145    ;43.58     ;     ~; 8.293; 7.78 ; 7.77 ; 7.74 ;F8V            ;~ ~ ~      ;  49;   1
101;HIP 41378  ;BD+10 1799                         ;*  ;*,IR                               ;126.6160384782742 +10.0803705570281;214.5263900229567 +25.6459574879952;  -48.143 0.059    ;   9.38;50.42    ;0.000168    ;50.42     ;     ~; 9.42 ; 8.92 ;     ~;     ~;F8             ;~ ~ ~      ;  19;   0
102;HD 45410   ;* 6 Lyn                            ;PM*;**,*,PM*,IR                        ;097.6962793926392 +58.1626335405975;156.9714325259148 +20.1897821578458;-30.421 -338.678   ;  18.27;39.65    ;0.000132    ;39.65     ;     ~; 6.798; 5.855; 6.95 ;     ~;K0.5IIIbFe0.5  ;~ ~ ~      ; 101;   1
103;HD 168746  ;HD 168746                          ;PM*;*,PM*,IR                           ;275.4574284956254 -11.9226816097156;018.9638790060298 +01.0303638996026;-23.099 -68.299    ;  24.03;-25.61   ;-0.000085   ;-25.60    ;     ~; 8.66 ; 7.95 ;     ~;     ~;G5V            ;~ ~ ~      ; 160;   2
104;HD 126525  ;HD 126525                          ;PM*;*,PM*,PM*,PM*,IR                   ;216.8873825737971 -51.9330854224094;317.6248309782964 +08.1755968166523;-305.200 40.337    ;  26.53;13.07    ;0.000044    ;13.07     ;     ~; 8.529; 7.85 ; 7.56 ; 8.31 ;G4V            ;~ ~ ~      ;  81;   1
105;HD 136418  ;HD 136418                          ;PM*;*,PM*                              ;229.7757595171704 +41.7332063391678;068.4870840885742 +56.5672870340804;-20.058 -181.928   ;   9.48;-34.76   ;-0.000116   ;-34.76    ; 9.480; 8.810;     ~; 7.3  ;     ~;G5             ;~ ~ ~      ;  30;   1
106;HD 166724  ;HD 166724                          ;PM*;*,PM*,IR                           ;273.4986492932850 -42.5753767338225;350.8220181326155 -11.6482188428063; 36.110 -80.147    ;  22.13;-17.66   ;-0.000059   ;-17.66    ;     ~;10.20 ; 9.34 ; 8.96 ; 9.37 ;K0IV/V         ;~ ~ ~      ;  40;   1
107;HD 85390   ;HD 85390                           ;PM*;*,PM*,IR                           ;147.5104038357125 -49.7902660077892;275.5459284159928 +03.1854250499618; 24.357 -60.245    ;  29.80;33.02    ;0.000110    ;33.02     ;     ~; 9.40 ; 8.55 ;     ~;     ~;K1.5V          ;~ ~ ~      ;  63;   1
108;HD 42012   ;HD 42012                           ;PM*;*,PM*,PM*,PM*,IR                   ;092.4852834878508 +34.1352973328139;178.0603988985938 +07.0780094074898;36.429 -261.326    ;  27.15;41.35    ;0.000138    ;41.36     ;     ~; 9.24 ;     ~; 7.9  ;     ~;K0             ;~ ~ ~      ;  26;   0
109;HD 164595  ;HD 164595                          ;PM*;**,*,PM*,PM*,PM*,IR                ;270.1620610825514 +29.5719229085724;055.4668467000394 +23.2768451485016;-139.130 173.475   ;  35.36;2.05     ;0.000007    ;2.05      ;     ~; 7.72 ;     ~; 6.7  ;     ~;G2V            ;~ ~ ~      ;  84;   0
110;HD 222155  ;HD 222155                          ;PM*;*,PM*,PM*,PM*,IR                   ;354.5012800491767 +48.9965240276736;110.7297525968138 -12.1276273603548;195.300 -117.266   ;  19.73;-43.98   ;-0.000147   ;-43.98    ;     ~; 7.76 ;     ~; 6.7  ;     ~;G0             ;~ ~ ~      ;  55;   1
111;HD 42618   ;HD 42618                           ;PM*;*,*,PM*,PM*,IR,UV                  ;093.0023617692375 +06.7830714769144;202.3579696517438 -05.5915247155016;197.304 -254.848   ;  41.06;-53.48   ;-0.000178   ;-53.47    ; 7.632; 7.496; 6.839; 6.478; 6.143;G4V            ;~ ~ ~      ; 147;   0
112;HD 215456  ;HD 215456                          ;PM*;*,PM*,IR                           ;341.5334761585763 -48.9788228807417;342.3055853440418 -57.4587606783876;207.608 -47.958    ;  25.22;-18.92   ;-0.000063   ;-18.92    ;     ~; 7.25 ; 6.62 ; 6.86 ; 8.66 ;G0.5V          ;~ ~ ~      ;  75;   1
113;HD 89307   ;HD 89307                           ;PM*;*,*,PM*,PM*,PM*,IR                 ;154.5886975499109 +12.6211088751986;227.3041211264998 +51.3956241771718;-272.380 -39.416   ;  31.21;23.08    ;0.000077    ;23.08     ; 7.650; 7.590;     ~; 6.7  ;     ~;G0V            ;~ ~ ~      ;  91;   1
114;HD 60532   ;HD 60532                           ;PM*;*,PM*,IR,UV                        ;113.5132510017413 -22.2960662161631;237.4979340653006 -01.1897079554318; -39.836 46.477    ;  38.48;61.04    ;0.000204    ;61.05     ; 5.02 ; 4.94 ; 4.39 ;     ~;     ~;F6IV-V         ;~ ~ ~      ; 198;   1
115;HD 215152  ;HD 215152                          ;PM*;*,PM*,PM*,IR                       ;340.8387618958362 -06.4008210283556;061.3382437859141 -53.1982248643418;-154.145 -289.737  ;  46.27;-13.75   ;-0.000046   ;-13.75    ;     ~; 9.12 ; 8.13 ; 7.83 ; 8.46 ;K3V            ;~ ~ ~      ;  84;   1
116;HD 14067   ;HD 14067                           ;PM*;*,PM*,IR                           ;034.2934989373488 +23.7678311259700;147.0461931790701 -35.0574098731459;-32.079 -40.993    ;   7.01;-11.54   ;-0.000038   ;-11.54    ; 8.370; 7.550; 6.510;     ~;     ~;G9III          ;~ ~ ~      ;  22;   0
117;HD 159868  ;HD 159868                          ;PM*;*,PM*,PM*,IR                       ;264.7480267926858 -43.1455123192956;347.1747219866353 -06.3132541823772;-230.510 -167.766  ;  17.88;-23.49   ;-0.000078   ;-23.49    ;     ~; 7.96 ; 7.24 ;     ~;     ~;G5V            ;~ ~ ~      ; 117;   1
118;HD 211847  ;HD 211847                          ;PM*;*,PM*,IR                           ;335.2322424975525 -41.4301097412819;358.1319789091005 -56.1206276183065;  44.593 10.344    ;  20.49;6.89     ;0.000023    ;6.89      ;     ~; 9.27 ; 8.62 ;     ~;     ~;G5V            ;~ ~ ~      ;  25;   0
119;HD 92987   ;HD 92987                           ;*  ;*,IR                               ;160.9011551076448 -39.0584856412297;277.4192768428415 +17.3983083998879;  15.444 23.218    ;  22.94;4.53     ;0.000015    ;4.53      ;     ~; 7.66 ; 7.02 ;     ~;     ~;G2/3V          ;~ ~ ~      ;  51;   0
120;HD 16400   ;* 81 Cet                           ;PM*;*,PM*,IR                           ;039.4241740567671 -03.3961740884061;174.4865102569240 -55.2499431820037; 42.066 -43.331    ;   9.85;9.22     ;0.000031    ;9.22      ;     ~; 6.674; 5.647;     ~;     ~;K0III          ;~ ~ ~      ;  67;   1
121;HD 192263  ;HD 192263                          ;BY*;**,PM*,V*,BY*                      ;303.4993563117783 -00.8668810181375;041.8749417438770 -18.6978492603487;-62.671 260.961    ;  50.90;-10.87   ;-0.000036   ;-10.87    ; 9.447; 8.724; 7.767; 7.231; 6.771;K1/2V          ;~ ~ ~      ; 211;   1
122;HD 189733  ;HD 189733                          ;BY*;**,**,*,*,*,PM*,PM*,V*,BY*,IR,X    ;300.1821376595367 +22.7108532809064;060.9630588657207 -03.9222684949339;-3.294 -250.225    ;  50.57;-2.32    ;-0.000008   ;-2.32     ; 9.241; 8.578; 7.648; 7.126; 6.68 ;K2V            ;~ ~ ~      ; 724;   1
123;HD 51608   ;HD 51608                           ;PM*;*,PM*,IR                           ;103.7139213910721 -55.2593280918628;265.1557895314242 -21.5391512305895;-27.951 -160.436   ;  28.50;39.91    ;0.000133    ;39.91     ;     ~; 8.947; 8.17 ; 7.94 ; 8.65 ;K0IV-V         ;~ ~ ~      ;  73;   1
124;HD 6718    ;HD 6718                            ;PM*;*,PM*,PM*,IR                       ;016.9527624453663 -08.2337029459650;135.2810552488353 -70.7118632038356; 192.637 20.080    ;  19.45;34.69    ;0.000116    ;34.69     ;     ~; 9.087; 8.45 ;     ~;     ~;G5V            ;~ ~ ~      ;  71;   1
125;HD 106252  ;HD 106252                          ;PM*;*,PM*,PM*,IR                       ;183.3729583769712 +10.0416357824842;273.5027010264328 +70.7131891562057;22.863 -280.009    ;  26.16;15.53    ;0.000052    ;15.53     ;     ~; 8.00 ;     ~; 7.0  ;     ~;G0             ;~ ~ ~      ; 159;   1
126;HD 69830   ;HD 69830                           ;PM*;X,**,**,**,*,PM*,PM*,IR,UV         ;124.5997790385363 -12.6321695007144;234.5634038492277 +12.8237455245163;278.787 -988.286   ;  79.59;30.12    ;0.000100    ;30.12     ;     ~; 6.74 ; 5.95 ;     ~;     ~;G8:V           ;~ ~ ~      ; 467;   1
127;HD 16008   ;HD 16008                           ;PM*;*,*,PM*,IR                         ;038.4542762632352 -19.6118056516385;200.6408242035284 -65.3868757269602; 220.590 35.400    ;  18.52;14.51    ;0.000048    ;14.51     ;     ~; 9.24 ; 8.58 ;     ~;     ~;G5V            ;~ ~ ~      ;  41;   0
128;HD 20782   ;HD 20782                           ;PM*;**,*,PM*,PM*,PM*,PM*,IR            ;050.0149072540708 -28.8540723360233;224.8021198951065 -57.2785430565856;349.057 -65.299    ;  27.76;39.90    ;0.000133    ;39.90     ;     ~; 8.03 ; 7.38 ;     ~;     ~;G1.5V          ;~ ~ ~      ; 158;   1
129;HD 132563 B;HD 132563B                         ;PM*;**,*,PM*,IR                        ;224.5880663197525 +44.0432945709375;074.8955985881999 +59.4434547563707;-57.640 -70.175    ;   9.50;-5.98    ;-0.000020   ;-5.98     ;     ~;10.16 ; 9.61 ;     ~;     ~;~              ;~ ~ ~      ;  16;   1
130;HD 104067  ;HD 104067                          ;PM*;*,PM*,PM*,PM*,IR                   ;179.7917027798812 -20.3537805880689;286.6544103656939 +40.8599772073639;141.869 -423.911   ;  49.08;15.06    ;0.000050    ;15.06     ; 9.683; 8.897; 7.921; 7.369; 6.913;K2V            ;~ ~ ~      ;  97;   1
131;HD 1502    ;HD 1502                            ;PM*;*,PM*,IR                           ;004.8211099053867 +14.0547559348278;111.2161026915267 -48.0842183016565; 74.113 -16.945    ;   5.21;-9.81    ;-0.000033   ;-9.81     ; 9.980; 9.290; 8.350;     ~;     ~;K0             ;~ ~ ~      ;  30;   1
132;HD 213885  ;HD 213885                          ;PM*;*,PM*,IR                           ;338.9846461643863 -59.8644655224035;328.7020226338752 -49.9359433246647;-108.388 -84.419   ;  20.77;36.22    ;0.000121    ;36.22     ;     ~; 8.56 ; 7.94 ;     ~;     ~;G0/2V          ;~ ~ ~      ;  25;   0
133;HD 176051  ;HD 176051                          ;SB*;X,**,SB*,SB*,*,*,*,PM*,Ro*,IR,UV   ;284.25670772 +32.90127007          ;063.34827471 +13.26567289          ; 201.96 -145.46    ;  67.24;-45.82   ;-0.000153   ;-45.82    ; 5.85 ; 5.82 ;     ~; 4.9  ;     ~;F9V+K1V        ;~ ~ ~      ; 236;   1
134;HD 117176  ;* 70 Vir                           ;PM*;**,*,PM*,PM*,IR,UV                 ;202.1075341181750 +13.7787897086433;337.6653680117858 +74.1006891039780;-235.562 -576.283  ;  55.83;5.02     ;0.000017    ;5.02      ; 5.930; 5.680; 4.970; 4.37 ; 3.98 ;G4Va           ;~ ~ ~      ; 671;   1
135;HD 98649   ;HD 98649                           ;PM*;*,PM*,IR                           ;170.2157029820050 -23.2173402966761;277.3053574609016 +35.1071704019968;-199.885 -177.918  ;  23.68;4.33     ;0.000014    ;4.33      ;     ~; 8.646; 7.99 ; 7.75 ; 8.26 ;G3/5V          ;~ ~ ~      ;  48;   1
136;HD 81040   ;HD 81040                           ;PM*;*,PM*,IR                           ;140.9461973474817 +20.3644522639197;209.3637306409729 +42.3267020778464;-151.258 36.125    ;  29.01;49.27    ;0.000164    ;49.27     ; 8.510; 8.370;     ~; 7.3  ;     ~;G0V            ;~ ~ ~      ;  71;   1
137;HD 150706  ;HD 150706                          ;PM*;*,*,PM*,IR,X                       ;247.8232639747938 +79.7897776310897;113.0071580557824 +32.6381537779374; 94.884 -86.971    ;  35.34;-17.21   ;-0.000057   ;-17.21    ;     ~; 7.622; 7.016;     ~;     ~;G0             ;~ ~ ~      ; 180;   1
138;HD 156668  ;HD 156668                          ;PM*;*,*,PM*,PM*,IR                     ;259.4187074031297 +29.2272277281881;051.9682631923801 +32.1143499530854;-72.627 216.769    ;  41.07;-44.45   ;-0.000148   ;-44.45    ;     ~;     ~;     ~; 7.8  ;     ~;K3V            ;~ ~ ~      ;  57;   1
139;HD 125390  ;HD 125390                          ;*  ;*,*,IR,IR                          ;214.5388260092021 +38.9669820923846;071.6474621967223 +68.4009743752757;-14.399 -15.998    ;   6.48;-76.52   ;-0.000255   ;-76.51    ;     ~; 9.28 ; 8.59 ; 8.69 ;     ~;G7III          ;~ ~ ~      ;  15;   0
140;HD 103720  ;HD 103720                          ;BY*;*,*,V*,BY*,IR                      ;179.1716065493508 -02.7789541704817;276.9813830992727 +57.3081306150861;-63.978 -42.996    ;  21.93;-6.61    ;-0.000022   ;-6.61     ;     ~;10.44 ; 9.49 ;     ~;     ~;K1IV/V         ;~ ~ ~      ;  38;   0
141;HD 130322  ;HD 130322                          ;PM*;*,PM*,PM*,IR,X                     ;221.8863606821654 -00.2814738691358;353.2148998017618 +50.8911640531646;-130.798 -140.365  ;  31.34;-12.39   ;-0.000041   ;-12.39    ;     ~; 8.82 ; 8.04 ;     ~;     ~;K0V            ;~ ~ ~      ; 231;   1
142;HD 72659   ;HD 72659                           ;PM*;*,*,PM*,IR                         ;128.5132919968225 -01.5682164847694;226.7537511864022 +21.8810899807698;-112.548 -96.579   ;  19.24;-18.22   ;-0.000061   ;-18.22    ;     ~; 8.08 ; 7.47 ;     ~;     ~;G2V            ;~ ~ ~      ; 129;   1
143;HD 121056  ;HD 121056                          ;RG*;*,RG*,PM*,PM*,IR                   ;208.4669207863908 -35.3143558159214;317.0504031479636 +25.8399866562113;-295.042 -69.160   ;  15.57;5.58     ;0.000019    ;5.58      ;     ~; 7.21 ; 6.19 ;     ~;     ~;K0III          ;~ ~ ~      ;  58;   0
144;HD 14787   ;HD 14787                           ;*  ;*,IR                               ;035.8085585486392 +10.8367462955761;156.3798276121786 -45.9886284812106; -11.105 11.812    ;   8.37;-8.14    ;-0.000027   ;-8.14     ;     ~; 8.56 ; 7.64 ;     ~;     ~;G5             ;~ ~ ~      ;  17;   0
145;BD+49 828  ;BD+49 828                          ;*  ;*,IR                               ;045.6405676788746 +49.7299897850433;143.6178665307246 -07.8017106302990;   7.655 -9.675    ;   2.23;3.35     ;0.000011    ;3.35      ;     ~;10.51 ; 9.38 ;     ~;     ~;K0             ;~ ~ ~      ;   9;   0
146;HD 90043   ;* 24 Sex                           ;PM*;*,PM*,IR                           ;155.8682057980462 -00.9022436559764;245.0852567547558 +44.7156947028299; 65.220 -36.272    ;  13.85;7.29     ;0.000024    ;7.29      ;     ~; 7.400; 6.441; 6.41 ;     ~;K0IV           ;~ ~ ~      ;  59;   1
147;HD 192310  ;HD 192310                          ;PM*;*,PM*,PM*,PM*,V*,IR                ;303.8224652327513 -27.0329759957211;015.6245329391456 -29.3974520542631;1242.527 -181.044  ; 113.65;-54.29   ;-0.000181   ;-54.29    ;     ~; 6.63 ; 5.723; 5.98 ; 8.74 ;K2+V           ;~ ~ ~      ; 279;   1
148;HD 71369   ;* omi UMa                          ;PM*;**,*,PM*,PM*,V*,IR,UV,X            ;127.5661276671 +60.7181698642      ;155.9763990712 +35.4268389926      ;-133.76 -107.45    ;  18.21;19.80    ;0.000066    ;19.80     ; 4.79 ; 4.27 ; 3.42 ; 2.76 ; 2.31 ;G5III:         ;~ ~ ~      ; 227;   1
149;HD 115617  ;* 61 Vir                           ;PM*;**,*,PM*,PM*,Ro*,IR,UV             ;199.6013094817 -18.3111957356      ;311.8590413935 +44.0926143516      ;-1070.36 -1063.69  ; 116.89;-7.82    ;-0.000026   ;-7.82     ; 5.710; 5.440; 4.740;     ~;     ~;G6.5V          ;~ ~ ~      ; 595;   1
150;HD 222582  ;HD 222582                          ;PM*;**,*,PM*,IR                        ;355.4647083126350 -05.9857587540736;081.7585651819443 -63.1518922581730;-145.401 -111.296  ;  23.69;12.02    ;0.000040    ;12.02     ;     ~; 8.34 ; 7.69 ;     ~;     ~;G5V            ;~ ~ ~      ; 196;   1
151;HD 220689  ;HD 220689                          ;PM*;*,*,PM*,IR                         ;351.4708006194409 -20.6160281157067;046.7605664847006 -69.4192376627646;-15.737 -177.493   ;  21.30;12.28    ;0.000041    ;12.28     ;     ~; 8.355; 7.76 ; 7.65 ; 8.59 ;G3V            ;~ ~ ~      ;  39;   1
152;HD 153950  ;HD 153950                          ;PM*;*,*,PM*,PM*,IR                     ;256.1286288460158 -43.3097695767881;343.4765979631180 -01.2311467422867;110.494 -140.694   ;  20.61;33.16    ;0.000111    ;33.16     ;     ~; 7.90 ; 7.38 ;     ~;     ~;F8V            ;~ ~ ~      ;  60;   1
153;HD 122173  ;HD 122173                          ;*  ;*,V*,IR                            ;210.1935199129400 -30.5835660156144;320.1525849306468 +29.9590659908772;  10.294 -9.852    ;   4.97;-19.39   ;-0.000065   ;-19.39    ;     ~;10.62 ;10.07 ;     ~;     ~;F6/7V          ;~ ~ ~      ;  14;   0
154;HD 21749   ;HD 21749                           ;PM*;**,**,*,*,*,PM*,PM*,IR             ;051.7467619645878 -63.4991005052613;279.2303534084244 -45.8226493805253;355.084 -247.460   ;  61.25;59.54    ;0.000199    ;59.55     ;10.446; 9.302; 8.143; 7.43 ; 6.865;K4.5V          ;~ ~ ~      ;  71;   1
155;HD 2952    ;HD 2952                            ;PM*;*,PM*,IR                           ;008.2933104224175 +54.8949851245803;120.2828334529046 -07.8827915757715; 70.293 -38.883    ;   9.05;-34.86   ;-0.000116   ;-34.86    ;     ~; 6.959; 5.922;     ~;     ~;K0III          ;~ ~ ~      ;  43;   1
156;HD 47366   ;HD 47366                           ;PM*;*,PM*,IR                           ;099.4199746704034 -12.9851180156806;223.0354590745461 -08.8870894973426; 9.834 -125.718    ;  11.83;9.12     ;0.000030    ;9.12      ;     ~; 7.096; 6.106;     ~;     ~;K1(III)        ;~ ~ ~      ;  43;   0
