C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.14CEST22:27:39

 IdentList
----------

 # ;typed ident;            identifier             ;typ;             all types             ;     coord1 (ICRS,J2000/2000)      ;      coord4 (Gal,J2000/2000)      ;        pm         ;  plx  ; radvel  ;  redshift  ;    cz    ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;morph. type;#bib;#not
---;-----------;-----------------------------------;---;-----------------------------------;-----------------------------------;-----------------------------------;-------------------;-------;---------;------------;----------;------;------;------;------;------;---------------;-----------;----;----
18 ;HD 26965   ;* omi02 Eri                        ;Fl*;**,*,*,*,PM*,PM*,V*,Fl*,Ro*,IR,UV,X;063.8179988583 -07.6528716908      ;200.7527639098 -38.0478202245      ;-2240.12 -3420.27  ; 200.62;-42.27   ;-0.000141   ;-42.27    ; 5.69 ; 5.25 ; 4.43 ; 3.74 ; 3.29 ;K0V            ;~ ~ ~      ; 744;   0
19 ;HD 20794   ;* e Eri                            ;PM*;*,PM*,IR,UV,X                      ;049.9818788967 -43.0697826375      ;250.7461712504 -56.0768659495      ; 3038.34 726.58    ; 165.47;87.88    ;0.000293    ;87.89     ; 5.20 ; 4.98 ; 4.27 ; 3.65 ; 3.25 ;G6V            ;~ ~ ~      ; 398;   1
20 ;HD 102272  ;HD 102272                          ;*  ;*,IR                               ;176.5980643614233 +14.1239871685883;250.2937226702325 +70.0221664177403;   -7.371 7.639    ;   2.86;-11.99   ;-0.000040   ;-11.99    ;     ~; 9.71 ; 8.71 ;     ~;     ~;K2             ;~ ~ ~      ;  43;   1
21 ;HD 5891    ;HD 5891                            ;*  ;*,IR                               ;015.1383019941896 +20.2924866172414;125.8327149572076 -42.5279170626775;  3.235 -40.111    ;   3.50;-96.16   ;-0.000321   ;-96.14    ;     ~; 9.11 ; 8.11 ;     ~;     ~;G5             ;~ ~ ~      ;  23;   1
22 ;HD 22781   ;HD 22781                           ;PM*;*,PM*,IR                           ;055.2063524530796 +31.8262913506522;160.0719321611239 -18.5671551715355; 40.576 -94.254    ;  30.64;8.26     ;0.000028    ;8.26      ;     ~; 9.628; 8.766; 8.45 ;     ~;K0             ;~ ~ ~      ;  32;   1
23 ;HD 150433  ;HD 150433                          ;PM*;**,*,PM*,PM*,PM*,IR                ;250.2842282596342 -02.8572783944233;013.9462282244943 +27.1196366527536;-26.810 -444.697   ;  32.83;-40.18   ;-0.000134   ;-40.18    ;     ~; 7.861; 7.22 ; 6.80 ; 8.70 ;G5V            ;~ ~ ~      ;  94;   1
24 ;HD 104985  ;HD 104985                          ;PM*;*,PM*,IR                           ;181.3129904261104 +76.9057329106592;126.3215332904081 +39.9170084771009;147.071 -92.204    ;   9.91;-20.20   ;-0.000067   ;-20.20    ;     ~;     ~;     ~; 5.2  ;     ~;G8.5IIIb       ;~ ~ ~      ; 132;   1
25 ;HD 5583    ;HD 5583                            ;PM*;*,PM*,IR                           ;014.4863141850625 +34.9855276171953;124.4395945305361 -27.8671721722598;120.221 -45.764    ;   4.53;11.68    ;0.000039    ;11.68     ;     ~; 8.54 ; 7.60 ;     ~;     ~;K0             ;~ ~ ~      ;   6;   0
26 ;HD 97658   ;HD 97658                           ;PM*;*,*,PM*,IR                         ;168.6381722345196 +25.7103866422406;211.1618301138351 +68.2953558963237;-107.534 48.662    ;  46.35;-1.58    ;-0.000005   ;-1.58     ; 9.049; 8.569; 7.714; 7.259; 6.835;K1V            ;~ ~ ~      ; 128;   1
27 ;HD 107383  ;* 11 Com                           ;PM*;**,**,*,*,PM*,IR,UV                ;185.1792732510213 +17.7928720163631;264.1406962547616 +78.2805520970784;-109.241 88.170    ;  10.71;43.37    ;0.000145    ;43.37     ;     ~; 5.74 ; 4.74 ;     ~;     ~;G8+IIIFe-1     ;~ ~ ~      ; 145;   1
28 ;HD 4308    ;HD 4308                            ;PM*;*,PM*,PM*,PM*,IR                   ;011.1636146903792 -65.6495229139917;304.0541817490484 -51.4639431092398;157.504 -741.599   ;  45.39;95.19    ;0.000318    ;95.20     ; 7.31 ; 7.193; 6.552;     ~;     ~;G6VFe-0.9      ;~ ~ ~      ; 217;   1
29 ;HD 136352  ;* nu.02 Lup                        ;PM*;*,PM*,PM*,PM*,IR,UV                ;230.4506296546300 -48.3176284677703;327.0772438131025 +07.3782036306425;-1624.047 -276.024 ;  68.08;-68.78   ;-0.000229   ;-68.77    ; 6.35 ; 6.30 ; 5.65 ;     ~;     ~;G3/5V          ;~ ~ ~      ; 234;   1
30 ;HD 112410  ;HD 112410                          ;RG*;*,RG*,IR                           ;194.3831662845817 -65.6464609562361;303.5609161074600 -02.7821546894531; -65.486 31.269    ;   6.36;72.82    ;0.000243    ;72.83     ;     ~; 7.90 ; 6.87 ;     ~;     ~;G8III          ;~ ~ ~      ;  14;   1
