recno,Star,S/N,pop,[CuI/Fe],e_[CuI/Fe],o_[CuI/Fe],[ZnI/Fe],e_[ZnI/Fe],o_[ZnI/Fe],[SrI/Fe],e_[SrI/Fe],o_[SrI/Fe],[YII/Fe],e_[YII/Fe],o_[YII/Fe],[ZrI/Fe],e_[ZrI/Fe],o_[ZrI/Fe],[ZrII/Fe],e_[ZrII/Fe],o_[ZrII/Fe],[BaII/Fe],e_[BaII/Fe],o_[BaII/Fe],[CeII/Fe],e_[CeII/Fe],o_[CeII/Fe],[NdII/Fe],e_[NdII/Fe],o_[NdII/Fe],[EuII/Fe],e_[EuII/Fe],o_[EuII/Fe],[AlI/Fe],e_[AlI/Fe],o_[AlI/Fe],[MgI/Fe],e_[MgI/Fe],o_[MgI/Fe],[SiI/Fe],e_[SiI/Fe],o_[SiI/Fe],[CaI/Fe],e_[CaI/Fe],o_[CaI/Fe],[TiI/Fe],e_[TiI/Fe],o_[TiI/Fe],[TiII/Fe],e_[TiII/Fe],o_[TiII/Fe]
920,"    HD9578",532," thin",-0.14,0.07,4,-0.12,0.03,3,0.1,0.02,1,0.07,0.04,6,,,0,0.0,0.04,4,0.13,0.02,3,0.02,0.04,4,-0.04,0.03,4,-0.12,0.08,1,-0.05,0.01,2,-0.04,0.01,3,-0.03,0.01,14,0.06,0.05,12,0.0,0.02,22,-0.05,0.01,5
921,"  HD115341",98," thin",-0.01,0.17,4,-0.08,0.01,3,0.05,0.1,1,0.03,0.05,6,0.58,0.1,1,0.03,0.03,4,0.04,0.02,3,0.02,0.05,4,0.02,0.06,4,,,0,-0.07,0.0,2,-0.03,0.03,3,-0.02,0.04,13,0.08,0.11,12,0.01,0.04,22,-0.04,0.03,5
922,"   HD24085",113," thin",0.03,0.05,4,-0.03,0.04,3,-0.06,0.09,1,0.04,0.04,6,0.43,0.11,1,0.01,0.03,4,-0.02,0.04,3,-0.02,0.05,4,-0.07,0.05,4,,,0,-0.08,0.02,2,-0.01,0.02,3,0.01,0.05,14,0.05,0.16,12,0.02,0.05,21,0.03,0.02,5
923,"   HD93745",124," thin",-0.03,0.04,4,-0.07,0.03,3,-0.04,0.08,1,-0.02,0.04,6,,,0,-0.07,0.12,4,-0.05,0.04,3,-0.02,0.09,4,-0.1,0.03,4,,,0,0.05,0.04,2,-0.02,0.01,3,0.01,0.08,13,0.02,0.07,12,0.01,0.03,22,-0.01,0.01,5
924,"  HD119638",1163," thin",-0.06,0.05,4,-0.04,0.02,3,0.0,0.02,1,-0.05,0.03,6,,,0,-0.05,0.04,4,0.02,0.02,3,-0.02,0.05,4,-0.05,0.04,4,-0.01,0.04,1,-0.04,0.02,2,0.01,0.02,3,0.03,0.01,14,0.05,0.05,12,0.02,0.02,22,-0.01,0.02,5
925,"  HD103891",430," thin",-0.05,0.08,4,-0.04,0.03,3,0.03,0.03,1,0.02,0.04,6,,,0,0.05,0.05,4,0.05,0.02,3,0.03,0.09,4,0.01,0.05,4,-0.01,0.09,1,-0.02,0.01,2,0.05,0.02,3,0.06,0.01,14,0.08,0.06,12,0.06,0.03,22,0.06,0.02,5
926,"  HD196892",150,"thick",-0.19,0.08,3,0.03,0.06,3,0.23,0.13,1,0.14,0.1,6,,,0,0.37,0.04,4,0.09,0.13,3,0.1,0.08,3,,,0,,,0,0.08,0.07,2,0.31,0.06,3,0.22,0.07,14,0.28,0.05,11,0.32,0.09,18,0.27,0.05,5
927,"  HD153950",556," thin",-0.05,0.05,4,-0.06,0.01,3,-0.03,0.02,1,-0.02,0.04,6,,,0,-0.01,0.05,4,-0.01,0.04,3,-0.01,0.05,4,-0.07,0.05,4,-0.04,0.07,1,0.02,0.0,2,0.04,0.01,3,0.02,0.01,14,0.06,0.07,12,0.04,0.01,22,0.03,0.01,5
928,"   HD31103",359," thin",-0.07,0.05,4,-0.06,0.02,3,0.07,0.03,1,0.02,0.06,6,,,0,0.01,0.04,4,0.07,0.02,3,-0.07,0.03,4,-0.09,0.04,4,-0.07,0.1,1,-0.03,0.0,2,-0.03,0.01,3,-0.01,0.03,14,0.02,0.06,12,0.0,0.02,22,-0.07,0.01,5
929,"  HD223854",253," thin",-0.08,0.06,4,-0.08,0.06,3,-0.03,0.06,1,-0.14,0.05,5,,,0,-0.02,0.05,4,-0.06,0.04,3,-0.03,0.05,3,0.02,0.07,4,0.01,0.2,1,-0.02,0.0,2,0.04,0.15,3,0.11,0.02,13,0.17,0.07,12,0.16,0.08,19,0.14,0.02,5
930,"   HD96276",125," thin",-0.09,0.03,4,-0.06,0.02,3,0.01,0.08,1,0.0,0.05,6,,,0,-0.06,0.06,4,0.03,0.03,3,-0.05,0.03,4,-0.06,0.07,3,,,0,0.0,0.02,2,-0.01,0.03,3,-0.01,0.05,14,0.02,0.06,12,-0.01,0.05,22,-0.02,0.02,5
