recno,Star,Teff,e_Teff,logg,e_logg,loggHIP,e_loggHIP,[Fe/H],e_[Fe/H],vtur,e_vtur,loggcor,SimbadName,_RA,_DE
395,"HD69830",5402,28.0,4.4,0.04,4.49,0.03,-0.06,0.02,0.8,0.04,4.45,"HD69830",124.59978,-12.63217
609,"HD78558",5711,18.0,4.36,0.02,4.2,0.03,-0.44,0.01,0.99,0.02,4.34,"HD78558",137.10516,-15.14479
1003,"HD75881",6239,40.0,4.44,0.06,4.07,0.04,0.07,0.03,1.63,0.05,4.26,"HD75881",133.08505,-12.8087
734,"HD78612",5834,14.0,4.27,0.02,4.12,0.04,-0.24,0.01,1.14,0.02,4.21,"HD78612",137.20743,-10.75751
49,"HD73583",4597,69.0,4.26,0.28,4.54,0.08,-0.23,0.02,0.66,0.18,4.56,"HD73583",129.68858,-13.25669
398,"BD-082534",5405,29.0,4.43,0.04,4.48,0.12,-0.78,0.02,0.41,0.1,4.48,"BD-082534",134.32026,-9.46305
76,"BD-092670",4657,43.6,4.25,0.17,4.54,0.07,-0.07,0.04,0.24,0.34,4.53,"BD-092670",132.49105,-9.7964
254,"HD70903",5064,35.2,4.44,0.08,4.42,0.09,-0.46,0.02,0.48,0.09,4.58,"HD70903",126.04317,-11.43872
698,"HD78538",5786,13.0,4.5,0.03,4.51,0.06,-0.03,0.01,0.98,0.02,4.46,"HD78538",137.19569,-5.11609
342,"HD75530",5311,29.0,4.48,0.07,4.37,0.09,-0.54,0.02,0.53,0.08,4.56,"HD75530",132.5875,-5.53603
699,"HD76151",5788,23.0,4.48,0.02,4.47,0.02,0.12,0.02,0.96,0.03,4.44,"HD76151",133.57478,-5.43446
492,"HD74014",5561,27.0,4.33,0.04,4.4,0.04,0.22,0.02,0.9,0.03,4.34,"HD74014",130.32733,-4.80894
721,"HD149747",5823,35.0,3.95,0.04,,,-0.34,0.03,1.28,0.05,3.9,"HD149747",259.99783,-87.24295
468,"HD112540",5523,22.0,4.52,0.03,4.5,0.04,-0.17,0.02,0.74,0.04,4.54,"HD112540",197.08595,-87.21931
480,"HD115499",5542,36.0,4.45,0.05,4.53,0.08,0.07,0.03,0.95,0.05,4.47,"HD115499",202.20236,-86.44965
460,"HD142022A",5508,32.0,4.35,0.05,4.4,0.04,0.19,0.03,0.83,0.04,4.38,"HD142022A",242.56261,-84.23161
606,"HD142879",5707,22.0,4.51,0.03,4.52,0.06,-0.39,0.02,0.74,0.04,4.49,"HD142879",243.93888,-84.12453
959,"HD145344",6143,41.0,4.39,0.04,4.11,0.07,-0.68,0.03,1.48,0.08,4.25,"HD145344",246.88478,-83.47597
84,"HD125271",4672,42.7,4.25,0.17,4.61,0.06,-0.22,0.01,0.12,0.05,4.52,"HD125271",216.64859,-81.45331
705,"HD131218",5797,31.0,4.55,0.04,4.57,0.07,-0.06,0.02,0.96,0.04,4.5,"HD131218",224.91344,-78.51086
312,"HD137388",5240,53.0,4.42,0.11,4.54,0.06,0.18,0.03,0.93,0.1,4.51,"HD137388",233.91634,-80.20459
553,"HD115674",5649,20.0,4.48,0.03,4.49,0.03,-0.17,0.01,0.85,0.03,4.47,"HD115674",200.7503,-81.31011
932,"HD123517",6082,29.0,4.08,0.05,,,0.09,0.02,1.53,0.03,3.96,"HD123517",213.49949,-78.89772
464,"HD120362",5517,30.0,4.51,0.07,4.61,0.07,0.1,0.02,1.05,0.05,4.53,"HD120362",208.43235,-78.4137
654,"HD113513",5751,52.0,4.54,0.08,4.57,0.05,0.17,0.04,0.94,0.07,4.51,"HD113513",196.71093,-77.87045
865,"HD122862",5982,13.0,4.23,0.02,4.12,0.01,-0.12,0.01,1.29,0.01,4.14,"HD122862",212.11319,-74.85028
793,"HD131664",5901,26.0,4.5,0.03,4.38,0.06,0.31,0.02,1.04,0.03,4.43,"HD131664",225.02528,-73.53535
299,"HD139536",5209,92.0,4.71,0.17,4.63,0.17,-0.04,0.05,1.13,0.2,4.81,"HD139536",235.9963,-71.70487
209,"HD138914",4968,49.9,4.34,0.11,4.52,0.1,-0.12,0.03,0.64,0.11,4.51,"HD138914",235.07952,-71.56796
539,"HD134606",5633,28.0,4.38,0.05,4.37,0.03,0.27,0.02,1.0,0.03,4.38,"HD134606",228.81269,-70.51962
520,"HD131565",5612,21.0,4.47,0.05,4.4,0.08,-0.16,0.02,0.72,0.04,4.47,"HD131565",224.53962,-68.59076
854,"HD150139",5968,26.0,4.29,0.04,4.11,0.06,-0.51,0.02,1.29,0.04,4.2,"HD150139",251.36197,-71.83982
308,"HD138799",5224,41.0,4.36,0.08,4.43,0.1,0.02,0.03,0.71,0.09,4.46,"HD138799",234.72494,-69.2091
216,"HD139189",4983,47.1,4.36,0.12,4.48,0.12,0.01,0.03,0.59,0.13,4.53,"HD139189",234.9747,-61.18334
767,"HD141624",5871,30.0,4.4,0.03,4.37,0.07,-0.38,0.02,1.01,0.04,4.34,"HD141624",238.3455,-61.36319
396,"HD144342",5403,32.0,4.47,0.06,4.53,0.08,0.07,0.02,0.9,0.05,4.52,"HD144342",242.10887,-58.42953
