recno,Star,Teff,e_Teff,logg,e_logg,loggHIP,e_loggHIP,[Fe/H],e_[Fe/H],vtur,e_vtur,loggcor,SimbadName,_RA,_DE
72,"HD117938",4653,35.0,4.2,0.12,4.49,0.08,-0.13,0.03,0.21,0.29,4.48,"HD117938",203.57895,-36.52371
192,"HD118466",4938,40.8,4.16,0.14,4.4,0.09,0.2,0.03,0.17,0.28,4.34,"HD118466",204.45452,-35.44889
573,"HD117207",5667,21.0,4.32,0.04,4.35,0.04,0.22,0.02,1.01,0.02,4.31,"HD117207",202.33797,-35.571
730,"HD114561",5829,21.0,4.5,0.03,4.48,0.08,-0.07,0.02,0.88,0.03,4.45,"HD114561",197.93816,-35.6187
125,"HD114386",4774,59.0,4.37,0.14,4.49,0.05,-0.09,0.01,0.01,0.84,4.61,"HD114386",197.66593,-35.05478
742,"HD114729",5844,12.0,4.19,0.02,4.08,0.03,-0.28,0.01,1.23,0.01,4.13,"HD114729",198.1844,-31.87335
263,"HD114747",5086,85.0,4.4,0.18,4.52,0.04,0.21,0.04,0.87,0.15,4.53,"HD114747",198.22626,-30.71175
882,"HD111564",6004,14.0,4.37,0.02,4.23,0.06,0.07,0.01,1.13,0.01,4.27,"HD111564",192.58414,-30.5771
182,"HD113569",4918,55.6,4.39,0.11,4.52,0.09,-0.25,0.03,0.48,0.14,4.58,"HD113569",196.23231,-28.92876
782,"HD117105",5889,14.0,4.41,0.02,4.27,0.03,-0.29,0.01,1.13,0.02,4.34,"HD117105",202.12731,-27.39185
189,"HD116920",4928,53.0,4.37,0.11,4.56,0.04,-0.25,0.03,0.48,0.15,4.56,"HD116920",201.7621,-24.29044
176,"HD116858",4913,54.0,4.45,0.12,4.55,0.05,-0.22,0.02,0.54,0.16,4.64,"HD116858",201.66482,-24.29337
695,"HD134702",5782,24.0,4.5,0.05,4.49,0.08,-0.04,0.02,0.74,0.04,4.46,"HD134702",228.12642,-35.91894
503,"HD138549",5582,19.0,4.44,0.03,4.52,0.05,0.0,0.01,0.87,0.03,4.45,"HD138549",233.47316,-31.01905
760,"HD134664",5865,19.0,4.52,0.02,4.41,0.05,0.1,0.01,0.99,0.02,4.46,"HD134664",228.04315,-30.88629
401,"HD136894",5412,22.0,4.36,0.03,4.4,0.03,-0.1,0.02,0.75,0.04,4.41,"HD136894",231.01012,-27.30522
65,"HD137303",4632,79.0,4.38,0.18,4.55,0.05,-0.35,0.07,0.17,0.66,4.66,"HD137303",231.49376,-26.70578
412,"HD128431",5429,21.0,4.43,0.03,4.44,0.11,-0.34,0.02,0.61,0.04,4.48,"HD128431",219.39169,-29.36741
645,"HD134987",5740,23.0,4.3,0.04,4.29,0.03,0.25,0.02,1.08,0.02,4.27,"HD134987",228.36945,-25.30935
576,"HD131183",5670,17.0,4.24,0.02,4.18,0.06,0.09,0.01,0.97,0.02,4.23,"HD131183",223.15451,-25.45477
102,"HD130992",4712,108.0,4.37,0.25,4.54,0.04,-0.13,0.05,0.31,0.45,4.63,"HD130992",222.9186,-24.30413
42,"HD132411",4574,66.4,4.25,0.23,4.5,0.1,-0.3,0.04,0.38,0.34,4.55,"HD132411",224.90935,-19.64059
508,"HD141598",5593,20.0,4.37,0.04,4.37,0.09,-0.1,0.01,0.75,0.03,4.38,"HD141598",237.68439,-24.00265
1019,"HD141597",6285,53.0,4.38,0.05,4.22,0.07,-0.4,0.04,1.23,0.08,4.18,"HD141597",237.66605,-23.25819
262,"HD139710",5085,52.1,4.38,0.09,4.63,0.13,-0.09,0.03,0.78,0.09,4.51,"HD139710",235.09557,-20.97129
197,"HD144497",4953,67.0,4.52,0.14,4.54,0.08,-0.11,0.03,0.61,0.19,4.7,"HD144497",241.74909,-22.97723
688,"HD145809",5778,15.0,4.15,0.02,4.02,0.03,-0.25,0.01,1.14,0.02,4.11,"HD145809",243.4181,-21.39996
487,"HD147195",5557,24.0,4.48,0.04,4.38,0.1,-0.05,0.02,0.68,0.04,4.49,"HD147195",245.28431,-19.94502
786,"HD141937",5893,18.0,4.45,0.03,4.48,0.03,0.13,0.01,1.0,0.02,4.38,"HD141937",238.07311,-18.43607
976,"HD123619",6166,41.0,4.45,0.03,4.24,0.08,-0.32,0.03,1.38,0.06,4.3,"HD123619",212.30501,-22.53756
1010,"HD128340",6259,40.0,4.64,0.02,4.34,0.12,-0.55,0.03,1.42,0.08,4.46,"HD128340",219.2516,-24.03841
1042,"HD130989",6414,40.0,4.27,0.05,4.01,0.05,-0.23,0.03,1.85,0.06,4.02,"HD130989",222.89565,-17.79036
983,"HD129829",6196,43.0,4.66,0.04,4.47,0.08,-0.16,0.03,1.3,0.06,4.5,"HD129829",221.32771,-18.00289
498,"HD126681",5570,34.0,4.7,0.03,4.64,0.08,-1.15,0.03,0.82,0.1,4.71,"HD126681",216.85379,-18.41123
1032,"HD119949",6359,36.0,4.47,0.04,4.16,0.1,-0.41,0.02,1.65,0.06,4.24,"HD119949",206.69021,-20.85256
804,"HD125612",5913,17.0,4.43,0.03,4.49,0.08,0.24,0.01,1.02,0.02,4.36,"HD125612",215.22299,-17.48153
256,"HD124106",5067,45.0,4.48,0.09,4.54,0.05,-0.17,0.02,0.61,0.1,4.62,"HD124106",212.94238,-12.61176
208,"HD132569",4967,44.7,4.47,0.11,4.55,0.11,-0.26,0.02,0.4,0.17,4.64,"HD132569",225.08316,-16.54121
215,"HD134440",4982,57.5,4.89,0.14,4.79,0.06,-1.33,0.04,1.13,0.19,5.06,"HD134440",227.55404,-16.46292
175,"HD136713",4911,85.0,4.32,0.21,4.53,0.05,0.08,0.05,0.69,0.2,4.51,"HD136713",230.65289,-10.66112
104,"BD-094191",4718,54.9,4.33,0.2,4.51,0.26,-0.29,0.02,0.0,2.17,4.59,"BD-094191",234.84133,-10.27323
989,"HD139879",6203,38.0,4.61,0.05,4.35,0.06,0.3,0.03,1.25,0.04,4.45,"HD139879",235.23065,-8.99857
579,"HD134088",5675,22.0,4.46,0.03,4.4,0.05,-0.75,0.02,0.86,0.04,4.45,"HD134088",227.05236,-7.9132
67,"BD-064196",4642,65.3,4.27,0.2,4.5,0.09,-0.04,0.03,0.35,0.32,4.55,"BD-064196",231.14805,-7.0549
157,"HD128113",4866,42.8,4.28,0.13,4.41,0.11,-0.18,0.03,0.23,0.23,4.49,"HD128113",218.83776,-11.74684
352,"HD131653",5324,26.0,4.54,0.04,4.59,0.08,-0.66,0.02,0.35,0.09,4.61,"HD131653",223.77949,-9.09731
11,"BD-033746",4486,222.9,4.18,0.64,4.67,0.09,-0.97,0.15,0.11,1.48,4.51,"BD-033746",228.49851,-3.798
732,"HD129191",5832,22.0,4.39,0.03,4.41,0.09,0.24,0.02,0.99,0.02,4.34,"HD129191",220.31742,-4.94487
787,"HD222669",5894,17.0,4.46,0.02,4.47,0.03,0.05,0.01,1.01,0.02,4.39,"HD222669",355.98901,-82.5085
186,"HIP116939",4920,40.1,4.27,0.11,4.5,0.07,-0.07,0.02,0.33,0.14,4.46,"HIP116939",355.56568,-82.0438
747,"HD221420",5847,22.0,4.03,0.03,4.01,0.04,0.33,0.02,1.28,0.02,3.97,"HD221420",353.33162,-77.38533
1014,"HD212301",6271,26.0,4.55,0.03,4.41,0.04,0.18,0.02,1.29,0.03,4.36,"HD212301",336.87883,-77.71792
571,"HD207700",5666,18.0,4.29,0.03,4.24,0.03,0.04,0.01,0.98,0.02,4.28,"HD207700",328.68833,-73.43848
318,"HD194717",5247,34.0,4.26,0.07,4.44,0.07,-0.28,0.02,0.33,0.11,4.35,"HD194717",308.98112,-78.46943
913,"HD171990",6045,15.0,4.14,0.02,4.05,0.04,0.06,0.01,1.4,0.01,4.03,"HD171990",281.95471,-77.86825
445,"HD192117",5479,35.0,4.48,0.06,4.54,0.06,-0.04,0.03,0.75,0.06,4.51,"HD192117",305.10075,-75.57787
143,"HIP98764",4811,44.0,4.33,0.13,4.61,0.07,-0.32,0.02,0.42,0.16,4.55,"HIP98764",300.89724,-73.75378
174,"HIP104856",4908,45.3,4.28,0.1,4.46,0.11,-0.24,0.02,0.08,0.3,4.47,"HIP104856",318.6157,-74.04679
421,"HD205536",5442,23.0,4.38,0.04,4.47,0.03,-0.05,0.02,0.77,0.04,4.42,"HD205536",325.12405,-74.07428
818,"HD199190",5926,17.0,4.26,0.02,4.19,0.04,0.15,0.01,1.14,0.02,4.18,"HD199190",315.02415,-69.57944
238,"HD200505",5035,38.0,4.45,0.08,4.58,0.05,-0.46,0.02,0.8,0.08,4.6,"HD200505",316.94134,-67.92031
967,"HD199868",6152,22.0,4.45,0.03,4.29,0.06,-0.13,0.02,1.26,0.03,4.31,"HD199868",315.94549,-68.0718
105,"HD222237",4722,55.0,4.34,0.15,4.57,0.03,-0.39,0.06,0.13,0.59,4.59,"HD222237",354.90579,-72.72215
954,"HD220367",6128,25.0,4.37,0.04,4.17,0.03,-0.21,0.02,1.34,0.03,4.24,"HD220367",351.07844,-72.16519
133,"HD224230",4794,64.0,4.24,0.17,4.55,0.08,-0.12,0.03,0.44,0.2,4.47,"HD224230",359.0428,-72.00218
1033,"HD221638",6360,50.0,4.53,0.08,4.4,0.05,-0.21,0.04,1.43,0.08,4.3,"HD221638",353.64405,-70.96312
97,"HD218572",4697,55.0,4.41,0.16,4.66,0.03,-0.58,0.03,0.33,0.31,4.67,"HD218572",347.58571,-68.8389
29,"HD219495",4554,335.4,4.24,0.91,4.49,0.11,0.32,0.62,0.07,6.21,4.55,"HD219495",349.32231,-66.9379
4,"HD218511",4424,90.0,4.52,0.26,4.65,0.03,-0.05,0.02,0.26,0.45,4.87,"HD218511",347.42063,-67.73282
1011,"HD215906",6259,58.0,4.56,0.07,4.31,0.05,-0.28,0.04,1.55,0.11,4.38,"HD215906",342.52105,-66.05047
644,"HD214954",5738,42.0,4.48,0.08,4.36,0.07,0.14,0.03,0.99,0.05,4.45,"HD214954",340.87002,-64.81199
827,"HD218379",5938,22.0,4.11,0.02,4.02,0.06,0.15,0.02,1.24,0.02,4.03,"HD218379",347.1524,-63.87158
783,"HD218340",5889,28.0,4.42,0.06,4.46,0.09,0.09,0.02,0.97,0.03,4.35,"HD218340",347.05154,-63.62816
470,"HD207869",5527,21.0,4.5,0.05,4.57,0.08,-0.45,0.02,0.73,0.05,4.52,"HD207869",328.79358,-69.02062
850,"HD211317",5965,25.0,4.3,0.04,4.2,0.04,0.27,0.02,1.21,0.02,4.21,"HD211317",334.70691,-68.3131
907,"HD204385",6033,16.0,4.44,0.02,4.37,0.03,0.07,0.01,1.15,0.02,4.33,"HD204385",322.69971,-62.1676
272,"HD212580",5099,41.0,4.38,0.1,4.55,0.06,-0.1,0.02,0.61,0.09,4.51,"HD212580",336.75997,-62.5246
73,"HIP108216",4654,78.4,4.33,0.25,4.65,0.08,-0.54,0.06,0.2,0.6,4.61,"HIP108216",328.85354,-61.21005
115,"HD210573",4755,114.0,4.24,0.27,4.52,0.1,-0.05,0.05,0.18,0.44,4.48,"HD210573",333.2005,-56.4198
70,"HD209100",4649,74.0,4.44,0.18,4.58,0.03,-0.13,0.06,0.28,0.55,4.72,"HD209100",330.84024,-56.78598
110,"HD187456",4739,118.0,4.2,0.28,4.56,0.04,0.06,0.03,0.0,1.93,4.45,"HD187456",299.0673,-72.3643
790,"HD177409",5898,10.0,4.49,0.02,4.48,0.04,-0.04,0.01,0.99,0.01,4.42,"HD177409",287.47731,-68.29969
567,"HD186302",5662,19.0,4.44,0.03,4.5,0.08,-0.03,0.01,0.78,0.03,4.43,"HD186302",297.27679,-70.18797
530,"HD188748",5623,17.0,4.43,0.03,4.51,0.05,-0.12,0.01,0.83,0.02,4.43,"HD188748",300.46687,-69.18794
1026,"HD192865",6307,37.0,4.44,0.03,4.15,0.05,0.13,0.03,1.59,0.04,4.24,"HD192865",305.39861,-67.31284
631,"HD189567",5726,15.0,4.41,0.01,4.37,0.01,-0.24,0.01,0.95,0.02,4.38,"HD189567",301.38652,-67.32089
516,"HD190248",5604,38.0,4.26,0.06,4.32,0.02,0.33,0.03,0.99,0.05,4.26,"HD190248",302.18171,-66.18207
883,"HD190984",6007,25.0,4.02,0.03,3.62,0.3,-0.49,0.02,1.58,0.03,3.92,"HD190984",302.87798,-64.62047
532,"HD195145",5625,20.0,4.41,0.03,4.46,0.11,0.17,0.02,0.82,0.03,4.41,"HD195145",308.25144,-62.49636
281,"HIP88316",5118,36.2,4.29,0.08,4.45,0.12,-0.05,0.02,0.46,0.09,4.41,"HIP88316",270.54354,-69.34079
165,"HD181433",4879,221.0,4.4,0.47,4.53,0.07,0.36,0.18,0.5,0.88,4.6,"HD181433",291.28987,-66.4688
385,"HD175607",5392,17.0,4.51,0.03,4.35,0.07,-0.62,0.01,0.6,0.04,4.57,"HD175607",285.27287,-66.19268
524,"HD171942",5615,21.0,4.42,0.03,4.46,0.09,-0.1,0.02,0.72,0.04,4.42,"HD171942",280.51187,-64.32354
134,"HD171825",4795,53.9,4.29,0.17,4.56,0.07,-0.14,0.03,0.3,0.25,4.52,"HD171825",280.31926,-63.53437
943,"HD176666",6103,34.0,4.63,0.03,4.39,0.06,-0.37,0.03,1.18,0.06,4.51,"HD176666",286.337,-61.6901
163,"HD181249",4878,33.0,4.25,0.12,4.49,0.08,-0.14,0.02,0.19,0.18,4.45,"HD181249",290.9809,-62.87179
95,"HD188559",4693,118.0,4.34,0.31,4.59,0.04,-0.03,0.03,0.08,1.1,4.6,"HD188559",299.63743,-54.93689
666,"HD199847",5763,20.0,4.22,0.02,4.19,0.13,-0.54,0.02,1.04,0.03,4.18,"HD199847",315.66256,-61.88055
81,"HD203413",4668,99.0,4.36,0.26,4.54,0.05,0.08,0.08,0.18,0.8,4.63,"HD203413",321.06304,-58.69231
814,"HD196050",5917,23.0,4.32,0.02,4.24,0.05,0.23,0.02,1.21,0.02,4.24,"HD196050",309.46546,-60.63449
466,"HD206163",5519,22.0,4.43,0.03,4.6,0.05,0.01,0.02,0.94,0.03,4.45,"HD206163",325.56894,-57.61295
140,"HD203850",4808,62.0,4.45,0.13,4.62,0.04,-0.71,0.02,0.13,0.57,4.68,"HD203850",321.74355,-56.12526
720,"HD206998",5822,26.0,4.24,0.03,4.05,0.14,-0.69,0.02,1.13,0.04,4.19,"HD206998",326.93337,-55.65459
139,"HD206630",4804,53.9,4.41,0.14,4.63,0.07,-0.43,0.03,0.39,0.26,4.64,"HD206630",326.2524,-52.4642
1025,"HD203335",6306,34.0,4.56,0.05,4.28,0.06,-0.04,0.03,1.44,0.05,4.36,"HD203335",320.91649,-55.54302
647,"HD204287",5743,18.0,4.15,0.02,4.06,0.05,-0.04,0.01,1.1,0.02,4.12,"HD204287",322.31031,-50.31684
128,"HD197921",4781,134.8,4.28,0.36,4.46,0.08,0.11,0.03,0.02,1.04,4.51,"HD197921",312.29247,-54.77774
53,"HD199933",4608,84.0,4.29,0.23,4.58,0.06,-0.11,0.02,0.32,0.5,4.58,"HD199933",315.576,-52.29139
820,"HD199289",5928,37.0,4.64,0.03,4.33,0.06,-0.98,0.03,1.3,0.1,4.56,"HD199289",314.53551,-48.20374
651,"HD199288",5746,22.0,4.46,0.03,4.32,0.01,-0.63,0.02,0.93,0.04,4.43,"HD199288",314.41695,-44.12937
683,"HD224393",5774,17.0,4.54,0.04,4.55,0.05,-0.38,0.01,0.84,0.03,4.5,"HD224393",359.39769,-65.77556
455,"HD224685",5504,30.0,4.47,0.06,4.55,0.08,-0.4,0.02,0.76,0.06,4.5,"HD224685",359.97946,-64.37231
1039,"HD221287",6374,29.0,4.62,0.03,4.45,0.05,0.04,0.02,1.29,0.03,4.39,"HD221287",352.83474,-58.20973
371,"HD219077",5362,18.0,4.0,0.03,3.88,0.02,-0.13,0.01,0.92,0.02,4.06,"HD219077",348.52744,-62.7
447,"HD219249",5482,13.0,4.5,0.03,4.51,0.04,-0.4,0.01,0.74,0.02,4.53,"HD219249",348.79033,-56.72921
748,"HD221343",5848,18.0,4.54,0.04,4.53,0.07,0.11,0.01,0.99,0.02,4.48,"HD221343",352.93442,-53.76995
350,"HD221580",5322,24.0,2.68,0.04,1.72,2.4,-1.13,0.02,1.97,0.04,2.75,"HD221580",353.4173,-53.65814
552,"HD222595",5648,16.0,4.46,0.03,4.58,0.05,0.01,0.01,0.88,0.02,4.45,"HD222595",355.55275,-53.42332
599,"HD220507",5698,17.0,4.29,0.03,4.26,0.05,0.01,0.01,1.01,0.02,4.27,"HD220507",351.17548,-52.70188
252,"HD218750",5063,62.1,4.25,0.13,4.42,0.12,0.06,0.04,0.4,0.13,4.39,"HD218750",347.75637,-50.96844
475,"HD213941",5532,18.0,4.41,0.03,4.35,0.03,-0.46,0.01,0.72,0.03,4.43,"HD213941",339.0321,-54.61062
754,"HD211415",5850,14.0,4.39,0.04,4.36,0.01,-0.21,0.01,0.99,0.02,4.33,"HD211415",334.56506,-53.62707
614,"HD210272",5713,20.0,4.13,0.02,3.95,0.05,-0.22,0.02,1.16,0.02,4.11,"HD210272",332.70695,-55.45713
170,"HD210507",4894,68.7,4.32,0.16,4.49,0.1,0.07,0.03,0.45,0.18,4.52,"HD210507",333.07058,-54.97797
159,"HD211369",4868,93.0,4.41,0.24,4.57,0.05,0.07,0.05,0.29,0.44,4.62,"HD211369",334.41428,-48.65049
306,"HD216215",5220,39.0,4.45,0.07,4.65,0.12,-0.2,0.03,0.58,0.09,4.55,"HD216215",342.99867,-53.24535
701,"HD215456",5789,15.0,4.1,0.03,4.03,0.03,-0.09,0.01,1.19,0.02,4.06,"HD215456",341.53348,-48.97882
885,"HD216435",6008,36.0,4.2,0.05,4.11,0.02,0.24,0.03,1.34,0.03,4.1,"HD216435",343.40805,-48.59829
866,"HD213240",5982,17.0,4.27,0.03,4.17,0.04,0.14,0.01,1.25,0.02,4.18,"HD213240",337.75153,-49.43327
230,"HD212918",5019,44.2,4.47,0.09,4.59,0.11,-0.24,0.02,0.48,0.12,4.62,"HD212918",337.20018,-49.5853
587,"HD212708",5681,27.0,4.35,0.04,4.4,0.04,0.27,0.02,0.99,0.03,4.33,"HD212708",336.85286,-49.36595
1021,"HD214094",6288,26.0,4.28,0.03,4.05,0.04,-0.01,0.02,1.46,0.03,4.08,"HD214094",339.17764,-43.47097
357,"HD224287",5330,27.0,4.38,0.05,4.52,0.11,-0.29,0.02,0.59,0.05,4.45,"HD224287",359.1479,-50.30374
740,"HD223171",5841,18.0,4.2,0.02,4.13,0.04,0.12,0.01,1.12,0.02,4.14,"HD223171",356.83678,-48.27558
290,"HD224047",5154,39.1,4.4,0.08,4.46,0.11,-0.22,0.02,0.54,0.08,4.51,"HD224047",358.70871,-47.80793
812,"HD217395",5916,14.0,4.52,0.03,4.48,0.06,-0.13,0.01,0.95,0.02,4.44,"HD217395",345.20073,-39.89495
711,"HD214867",5807,42.0,4.66,0.05,4.66,0.1,0.01,0.03,1.23,0.06,4.61,"HD214867",340.43948,-39.46164
679,"HD216008",5773,17.0,4.38,0.03,4.37,0.05,-0.04,0.01,0.91,0.02,4.34,"HD216008",342.44208,-37.85447
780,"HD220456",5887,19.0,4.5,0.03,4.52,0.07,-0.02,0.02,1.01,0.02,4.43,"HD220456",351.0146,-34.30028
1018,"HD220894",6282,29.0,4.6,0.04,4.4,0.06,0.02,0.02,1.35,0.04,4.41,"HD220894",351.90622,-33.62802
1050,"HD205591",6575,61.0,4.75,0.05,4.3,0.06,-0.08,0.04,1.85,0.09,4.43,"HD205591",324.42991,-45.5859
826,"HD207129",5937,13.0,4.49,0.02,4.43,0.01,0.0,0.01,1.06,0.01,4.41,"HD207129",327.06563,-47.30362
247,"HD209742",5054,40.0,4.37,0.08,4.48,0.05,-0.17,0.02,0.47,0.1,4.51,"HD209742",331.6929,-45.39244
657,"HD210918",5755,12.0,4.35,0.02,4.29,0.02,-0.09,0.01,0.99,0.01,4.31,"HD210918",333.66106,-41.38166
592,"HD212036",5687,19.0,4.41,0.02,4.39,0.09,-0.01,0.01,0.8,0.02,4.39,"HD212036",335.55682,-39.82015
217,"HD211534",4987,32.9,4.35,0.08,4.6,0.16,-0.34,0.02,0.46,0.09,4.52,"HD211534",334.62258,-39.13619
164,"HD210329",4878,30.0,4.27,0.09,4.39,0.09,-0.2,0.02,0.36,0.15,4.47,"HD210329",332.64757,-40.41178
756,"HD209449",5854,29.0,4.16,0.03,4.14,0.04,0.41,0.02,1.19,0.03,4.1,"HD209449",331.09435,-38.87631
32,"HD202389",4565,44.4,4.26,0.2,4.55,0.1,-0.24,0.03,0.05,0.54,4.57,"HD202389",319.24953,-46.06261
919,"HD202871",6055,16.0,4.54,0.04,4.47,0.07,-0.09,0.01,1.04,0.02,4.43,"HD202871",320.02032,-42.67869
550,"HD203432",5645,25.0,4.39,0.04,4.38,0.04,0.29,0.02,0.98,0.03,4.38,"HD203432",320.84402,-41.55251
886,"HD202209",6009,37.0,4.68,0.04,4.58,0.09,-0.01,0.03,1.19,0.05,4.58,"HD202209",318.90012,-39.45276
962,"HD208487",6146,19.0,4.48,0.03,4.38,0.04,0.08,0.01,1.24,0.02,4.34,"HD208487",329.3327,-37.76362
453,"HD209566",5500,26.0,4.38,0.04,4.45,0.07,0.12,0.02,0.75,0.04,4.41,"HD209566",331.27394,-35.18173
1036,"HD205294",6370,32.0,4.3,0.04,4.09,0.05,-0.25,0.02,1.71,0.05,4.07,"HD205294",323.80705,-34.32971
485,"HD213628",5555,20.0,4.44,0.03,4.54,0.04,0.01,0.01,0.82,0.03,4.46,"HD213628",338.37785,-35.44455
278,"HD217221",5116,43.6,4.36,0.1,4.51,0.09,0.0,0.03,0.53,0.1,4.48,"HD217221",344.89095,-30.9485
434,"HD214759",5461,36.0,4.37,0.08,4.45,0.04,0.18,0.03,0.85,0.06,4.41,"HD214759",340.22987,-31.99006
408,"HD216770",5424,51.0,4.38,0.07,4.5,0.05,0.24,0.04,0.91,0.09,4.43,"HD216770",343.97378,-26.65876
429,"HD215902",5454,29.0,4.46,0.04,4.56,0.09,-0.25,0.02,0.53,0.07,4.5,"HD215902",342.21547,-26.5426
173,"HIP109149",4904,80.0,4.4,0.19,4.73,0.13,-0.13,0.03,0.27,0.27,4.59,"HIP109149",331.64551,-34.40853
89,"HD210975",4678,64.0,4.25,0.2,4.69,0.06,-0.45,0.04,0.36,0.33,4.52,"HD210975",333.64501,-32.30827
82,"HD213042",4670,111.0,4.22,0.31,4.53,0.04,0.14,0.06,0.35,0.6,4.49,"HD213042",337.31348,-30.01841
38,"HD211583",4570,140.6,4.14,0.42,4.59,0.09,0.05,0.09,0.19,0.87,4.45,"HD211583",334.69262,-29.75254
292,"HD208272",5167,48.0,4.41,0.1,4.52,0.05,-0.07,0.03,0.78,0.08,4.51,"HD208272",328.92498,-29.70614
112,"HD208573",4744,79.0,4.25,0.2,4.48,0.05,0.05,0.05,0.28,0.46,4.5,"HD208573",329.45524,-29.11635
486,"HD207970",5556,25.0,4.38,0.03,4.36,0.05,0.07,0.02,0.8,0.03,4.4,"HD207970",328.42422,-28.67061
510,"HD210320",5597,26.0,4.31,0.05,4.35,0.08,0.11,0.02,0.87,0.03,4.31,"HD210320",332.53519,-27.67408
558,"HD214385",5654,15.0,4.43,0.02,4.41,0.05,-0.34,0.01,0.81,0.02,4.42,"HD214385",339.54592,-27.44343
58,"HD215722",4621,77.0,4.23,0.24,4.6,0.09,-0.07,0.03,0.41,0.29,4.52,"HD215722",341.88106,-24.56033
136,"HD214383",4800,38.9,4.32,0.13,4.68,0.15,-0.17,0.02,0.51,0.11,4.55,"HD214383",339.53255,-25.14147
664,"HD212231",5762,21.0,4.2,0.02,4.17,0.05,-0.3,0.02,1.01,0.03,4.16,"HD212231",335.81031,-25.84229
199,"HD212563",4954,62.0,4.45,0.15,4.61,0.08,-0.03,0.03,0.69,0.15,4.63,"HD212563",336.4185,-24.72881
735,"HD167300",5837,20.0,4.3,0.03,4.1,0.2,-0.45,0.01,1.05,0.03,4.24,"HD167300",274.68573,-61.93523
328,"HD176354",5271,40.0,3.84,0.07,3.88,0.04,0.27,0.03,1.07,0.05,3.93,"HD176354",285.80096,-56.99667
113,"HD185283",4746,79.3,4.28,0.2,4.51,0.05,-0.07,0.04,0.31,0.39,4.53,"HD185283",295.32464,-56.32188
180,"HD186061",4916,65.0,4.36,0.15,4.56,0.05,-0.05,0.03,0.42,0.19,4.55,"HD186061",296.21838,-52.33634
305,"HD174545",5216,57.0,4.4,0.11,4.46,0.05,0.22,0.04,0.88,0.13,4.5,"HD174545",283.48861,-54.90628
634,"HD178904",5727,18.0,4.41,0.03,4.33,0.07,0.09,0.01,0.98,0.02,4.38,"HD178904",288.25375,-49.90283
413,"HD190954",5430,24.0,4.46,0.03,4.43,0.06,-0.41,0.02,0.63,0.05,4.51,"HD190954",302.45068,-51.71824
52,"HD193406",4606,88.2,4.31,0.28,4.76,0.09,-0.36,0.03,0.41,0.28,4.6,"HD193406",305.55729,-49.73849
239,"HD191797",5037,48.5,4.47,0.11,4.49,0.11,-0.09,0.03,0.84,0.09,4.62,"HD191797",303.45747,-47.61521
3,"HD192961",4418,51.0,4.23,0.18,4.62,0.05,-0.3,0.22,0.02,2.2,4.59,"HD192961",304.9039,-46.42812
996,"HD188815",6217,49.0,4.34,0.03,4.21,0.07,-0.53,0.03,1.31,0.08,4.17,"HD188815",299.74393,-46.08804
441,"HD190204",5476,51.0,4.63,0.07,4.51,0.16,-0.02,0.04,1.14,0.08,4.67,"HD190204",301.40636,-42.25762
231,"HD191847",5020,33.0,4.39,0.08,4.62,0.09,-0.16,0.02,0.55,0.08,4.54,"HD191847",303.33154,-36.3024
241,"HD195302",5039,58.0,4.42,0.15,4.62,0.09,0.03,0.04,0.56,0.16,4.57,"HD195302",307.92079,-35.52416
544,"HD190647",5639,24.0,4.18,0.04,4.1,0.07,0.23,0.02,0.99,0.02,4.17,"HD190647",301.83195,-35.53863
670,"HIP99606B",5764,35.0,4.19,0.03,5.65,0.45,-0.41,0.03,0.98,0.05,4.15,"HIP99606",303.20894,-34.9021
867,"HD168871",5983,13.0,4.42,0.02,4.29,0.02,-0.09,0.01,1.17,0.02,4.33,"HD168871",276.13807,-49.65288
636,"HD172568",5728,22.0,4.58,0.03,4.48,0.08,-0.37,0.02,0.78,0.04,4.55,"HD172568",280.78637,-45.90077
549,"HD172643",5645,19.0,4.5,0.03,4.6,0.09,-0.15,0.02,0.73,0.03,4.49,"HD172643",280.90986,-45.824
353,"HD168870",5325,21.0,4.43,0.04,4.42,0.12,-0.32,0.02,0.67,0.04,4.5,"HD168870",276.06269,-46.94319
844,"CD-4512460",5960,69.0,4.42,0.05,3.33,1.54,-0.86,0.05,0.75,0.17,4.33,"CD-4512460",276.2577,-45.47983
984,"HD174153",6196,24.0,4.49,0.04,4.32,0.06,-0.08,0.02,1.34,0.03,4.33,"HD174153",282.83218,-44.47569
535,"HD177565",5627,19.0,4.39,0.03,4.46,0.02,0.08,0.01,0.91,0.02,4.39,"HD177565",286.7186,-37.81066
270,"HD166724",5099,36.0,4.43,0.09,4.61,0.08,-0.09,0.03,0.64,0.1,4.56,"HD166724",273.49865,-42.57537
368,"HD168769",5361,34.0,4.45,0.04,4.65,0.11,-0.01,0.02,0.87,0.06,4.51,"HD168769",275.83183,-39.51999
451,"HD172513",5500,18.0,4.41,0.03,4.46,0.05,-0.05,0.01,0.79,0.02,4.44,"HD172513",280.50981,-34.46633
27,"HD183783",4547,78.0,4.27,0.22,4.56,0.04,-0.21,0.06,0.22,0.59,4.58,"HD183783",293.12613,-35.45172
499,"HD185615",5570,20.0,4.34,0.03,4.39,0.06,0.08,0.02,0.84,0.03,4.35,"HD185615",295.30698,-32.87335
704,"HD181720",5792,17.0,4.25,0.02,4.08,0.1,-0.53,0.01,1.16,0.02,4.21,"HD181720",290.72077,-32.91905
