recno,Star,Teff,logg,[Fe/H],Age,e_Age,vsini,vmac,[S/Fe],e_[S/Fe],o_[S/Fe],Planet,Pop,S/N,SimbadName,_RA,_DE
53,"HD176157",5170.0,4.46,-0.15,6.752,4.794,0.504,2.493,-0.015,0.077,"2","none","thin ",235.75,"HD176157",284.73538,-0.50399
287,"HD148577",5713.0,4.27,-0.09,10.904,1.046,1.543,3.409,0.202,0.023,"2","none","hamr ",208.81,"HD148577",247.43019,-18.68079
11,"HD153851",5015.0,4.59,-0.28,5.755,4.639,2.272,2.296,-0.153,0.204,"2","none","thin ",347.46,"HD153851",255.59509,-11.89345
655,"HD150177",6216.0,4.01,-0.58,5.806,0.23,3.224,5.478,0.054,0.037,"2","none","thin ",1135.11,"HD150177",249.91304,-9.55459
473,"HD144585",5914.0,4.27,0.33,2.95,0.894,0.844,3.907,-0.135,0.027,"2","none","thin ",871.18,"HD144585",241.76404,-14.0713
383,"HD146233",5818.0,4.4,0.04,2.852,2.192,2.056,3.389,-0.053,0.028,"2","none","thin ",1140.25,"HD146233",243.90529,-8.36944
716,"HD141128",6758.0,4.28,0.07,0.373,0.241,3.48,5.5,-0.024,0.037,"2","none","thin ",92.46,"HD141128",236.90875,-9.48044
325,"HD149724",5747.0,4.21,0.37,4.819,1.121,2.567,3.602,-0.037,0.043,"2","none","thin ",124.78,"HD149724",249.20232,-6.2943
703,"HD149200",6416.0,4.39,0.15,0.868,0.607,6.138,5.616,-0.131,0.039,"2","none","thin ",166.22,"HD149200",248.34742,-4.26198
246,"HD150433",5665.0,4.42,-0.36,12.345,0.942,1.555,3.014,0.146,0.038,"2","jup ","thick",652.58,"HD150433",250.28423,-2.85728
170,"HD147512",5530.0,4.42,-0.08,7.754,3.951,1.385,2.797,-0.025,0.044,"2","none","thin ",488.74,"HD147512",245.63634,-4.24925
395,"HD154962",5827.0,4.12,0.32,4.183,0.684,2.308,3.972,-0.036,0.031,"2","none","thin ",604.81,"HD154962",257.22717,-3.883
370,"HD155968",5790.0,4.38,0.16,1.614,1.45,2.567,3.361,-0.087,0.03,"2","none","thin ",75.95,"HD155968",258.74197,-2.50315
258,"HD157347",5676.0,4.36,0.02,6.996,2.9,1.552,3.155,-0.073,0.03,"2","none","thin ",574.59,"HD157347",260.7137,-2.38818
647,"HD139590",6200.0,4.33,0.13,1.57,0.959,3.222,4.773,-0.014,0.019,"2","none","thin ",226.61,"HD139590",234.7544,-0.3115
464,"HD148816",5908.0,4.32,-0.71,12.79,0.521,1.842,3.79,0.327,0.042,"2","none","thick",413.57,"HD148816",247.61858,4.17822
309,"BD+083095",5728.0,4.09,-0.77,13.138,0.16,2.723,3.801,0.423,0.06,"2","none","thick",103.79,"BD+083095",237.74556,8.42326
254,"HD171028",5671.0,3.83,-0.48,4.89,0.229,1.808,4.205,0.037,0.046,"2","jup ","thin ",835.8,"HD171028",278.06456,6.94575
416,"HD34449",5848.0,4.44,-0.09,2.584,2.154,0.85,3.386,-0.002,0.031,"2","none","thin ",320.93,"HD34449",72.63853,-85.37517
545,"HD39091",6003.0,4.32,0.09,2.305,1.557,2.568,4.079,-0.062,0.024,"2","jup ","thin ",929.75,"HD39091",84.29119,-80.46912
63,"HD13060",5255.0,4.43,0.02,5.402,4.412,0.506,2.559,-0.116,0.09,"2","none","thin ",431.96,"HD13060",30.19671,-80.53271
160,"HD1237",5514.0,4.53,0.07,2.809,2.744,5.065,2.556,-0.025,0.059,"2","jup ","thin ",394.33,"HD1237",4.05283,-79.85118
148,"HD20003",5494.0,4.44,0.04,4.663,3.749,1.528,2.711,0.003,0.045,"2","nept","thin ",457.26,"HD20003",46.90799,-72.32189
505,"HD16382",5953.0,4.41,0.03,3.622,1.925,1.847,3.742,-0.01,0.027,"2","none","thin ",125.59,"HD16382",38.27572,-72.4439
169,"HD30306",5529.0,4.34,0.17,8.527,2.696,1.553,2.955,-0.054,0.039,"2","none","thin ",448.39,"HD30306",69.99164,-71.50561
281,"HD28701",5710.0,4.39,-0.32,12.248,0.98,1.575,3.163,0.154,0.036,"2","none","thick",654.12,"HD28701",66.44104,-69.99368
346,"HD29137",5768.0,4.24,0.3,5.316,1.125,2.551,3.589,-0.029,0.031,"2","none","thin ",192.1,"HD29137",67.54674,-67.87755
54,"HD39194",5205.0,4.63,-0.61,10.441,2.54,0.432,2.152,0.322,0.066,"1-6757","nept","thick",958.18,"HD39194",86.13299,-70.14357
455,"HD31532",5896.0,4.0,-0.08,4.349,0.137,4.354,4.396,-0.059,0.031,"2","none","thin ",179.71,"HD31532",72.83655,-68.06965
586,"HD24085",6065.0,4.36,0.17,3.277,0.784,4.147,4.207,-0.047,0.029,"2","none","thin ",113.21,"HD24085",56.25646,-70.0241
610,"HD24062",6107.0,4.5,0.28,2.428,0.745,4.606,4.077,-0.128,0.065,"2","none","thin ",110.68,"HD24062",56.1952,-70.02665
41,"HD25120",5104.0,4.5,-0.21,5.616,4.574,2.052,2.428,0.042,0.094,"1-6757","none","thin ",390.38,"HD25120",58.82632,-65.28472
634,"HD25171",6160.0,4.29,-0.11,4.042,1.147,0.661,4.696,0.014,0.028,"2","jup ","thin ",232.94,"HD25171",58.956,-65.18667
322,"HD28471",5745.0,4.34,-0.05,7.832,2.343,1.846,3.337,-0.005,0.027,"2","none","thin ",544.42,"HD28471",66.28813,-64.08007
496,"HD25704",5942.0,4.44,-0.83,12.548,0.739,1.382,3.649,0.282,0.052,"2","none","thick",458.9,"HD25704",60.43597,-57.20683
161,"HD14747",5516.0,4.46,-0.39,12.174,1.063,1.383,2.698,0.258,0.034,"2","none","thick",420.76,"HD14747",34.89057,-67.69847
301,"HD17439",5721.0,4.41,0.08,3.455,2.577,2.04,3.146,0.035,0.025,"2","none","thin ",239.88,"HD17439",41.017,-68.1484
408,"HD13578",5842.0,4.12,-0.03,7.559,0.555,1.845,4.01,0.03,0.024,"2","none","thin ",166.99,"HD13578",32.5343,-64.35508
50,"HD224789",5150.0,4.51,-0.04,5.4,4.414,2.53,2.395,0.037,0.093,"2","none","thin ",835.71,"HD224789",0.168,-69.67597
12,"HD4457",5016.0,4.65,-0.38,5.484,4.662,0.513,2.175,-0.111,0.21,"1-6757","none","thin ",301.74,"HD4457",11.4287,-67.87476
101,"HD7199",5386.0,4.4,0.28,5.248,4.05,1.535,2.685,0.039,0.061,"2","jup ","hamr ",863.08,"HD7199",17.69676,-66.18816
227,"HD4308",5644.0,4.37,-0.34,12.26,1.029,1.38,3.075,0.173,0.034,"2","nept","thick",2000.14,"HD4308",11.16361,-65.64952
467,"HD10180",5911.0,4.32,0.08,4.164,1.798,2.307,3.798,-0.018,0.023,"2","jup ","thin ",1677.03,"HD10180",24.47324,-60.51152
429,"HD20807",5866.0,4.46,-0.23,4.759,2.953,2.055,3.393,0.015,0.038,"2","none","thin ",1473.74,"HD20807",49.55341,-62.50637
664,"HD21132",6243.0,4.42,-0.37,3.605,1.772,2.569,4.77,-0.09,0.038,"2","none","thin ",691.28,"HD21132",50.35116,-61.48808
327,"HD19423",5752.0,4.2,-0.09,10.269,1.341,1.586,3.633,0.138,0.032,"2","none","thin ",86.03,"HD19423",46.2288,-57.16627
124,"HD21693",5430.0,4.42,0.0,6.781,4.368,0.823,2.682,-0.024,0.05,"2","nept","thin ",705.43,"HD21693",51.80201,-58.32368
528,"HD23079",5980.0,4.39,-0.12,4.108,2.093,2.057,3.865,-0.019,0.023,"2","jup ","thin ",1126.95,"HD23079",54.92957,-52.91584
249,"HD22177",5666.0,4.25,0.2,8.1,1.365,1.54,3.356,0.005,0.031,"2","none","thin ",194.26,"HD22177",53.0077,-52.47386
18,"HD13808",5033.0,4.51,-0.21,7.208,4.759,0.5,2.444,0.081,0.167,"2","nept","thin ",1014.84,"HD13808",33.17886,-53.74389
683,"HD14745",6290.0,4.52,-0.14,1.462,1.132,3.634,4.772,-0.007,0.044,"2","none","thin ",174.88,"HD14745",35.22455,-52.96379
659,"HD17051",6227.0,4.36,0.19,0.557,0.411,5.628,4.824,-0.108,0.032,"2","jup ","thin ",624.16,"HD17051",40.63944,-50.80029
642,"HD37226",6178.0,4.01,-0.12,3.172,0.316,3.803,5.326,-0.007,0.03,"2","none","thin ",405.58,"HD37226",83.43485,-54.90229
558,"HD38973",6016.0,4.32,0.05,2.524,1.676,2.306,4.121,0.011,0.02,"2","none","thin ",807.03,"HD38973",86.61663,-53.21932
441,"HD34327",5883.0,4.13,-0.06,6.397,0.288,3.107,4.099,-0.016,0.027,"2","none","thin ",150.06,"HD34327",78.36626,-55.5689
196,"HD30177",5601.0,4.34,0.37,5.268,2.437,2.305,3.062,-0.009,0.05,"2","jup ","thin ",199.09,"HD30177",70.47656,-58.02076
103,"HD30278",5394.0,4.45,-0.17,9.106,3.851,1.025,2.591,-0.027,0.057,"2","none","thin ",712.51,"HD30278",70.80702,-54.59343
619,"HD30053",6139.0,4.38,-0.22,4.248,1.85,3.354,4.436,0.0,0.041,"2","none","thin ",98.07,"HD30053",70.33214,-52.62579
235,"HD28254",5653.0,4.14,0.36,6.012,1.251,1.532,3.552,-0.054,0.037,"2","jup ","thin ",369.84,"HD28254",66.21127,-50.62219
28,"HD40105",5064.0,3.83,0.02,7.332,0.533,1.882,2.5,0.086,0.06,"2","none","hamr ",1208.21,"HD40105",88.54506,-50.36255
614,"HD36051",6118.0,4.5,-0.08,1.05,0.927,5.107,4.117,-0.011,0.031,"2","none","thin ",196.5,"HD36051",81.67759,-45.04965
265,"HD39427",5682.0,4.5,-0.18,3.493,3.016,1.852,2.887,0.122,0.034,"2","none","thin ",196.73,"HD39427",87.61404,-43.69965
697,"HD40483",6371.0,4.16,-0.06,2.781,0.411,3.799,5.86,-0.01,0.048,"2","none","thin ",169.58,"HD40483",89.22901,-44.00897
719,"HD38385",7212.0,4.02,0.09,0.692,0.263,7.257,5.5,-0.133,0.054,"2","none","thin ",268.07,"HD38385",85.87577,-39.40691
654,"HD37990",6215.0,4.39,0.0,0.944,0.791,2.301,4.714,0.048,0.028,"2","none","thin ",175.49,"HD37990",85.1787,-36.58489
318,"HD33473A",5740.0,3.94,-0.13,4.189,0.155,2.056,4.127,-0.08,0.034,"2","jup ","thin ",378.46,"HD33473",77.12465,-41.2137
466,"HD32804",5910.0,4.46,0.06,1.321,1.174,2.307,3.515,-0.106,0.026,"2","none","thin ",281.97,"HD32804",75.96971,-40.60779
306,"HD33822",5726.0,4.26,0.26,6.156,1.405,2.528,3.456,0.035,0.034,"2","none","thin ",86.55,"HD33822",77.87299,-33.88066
458,"HD25912",5900.0,4.45,0.12,1.144,1.027,2.564,3.507,-0.048,0.035,"2","none","thin ",116.11,"HD25912",60.90798,-51.93084
641,"HD23456",6178.0,4.41,-0.32,4.983,1.411,1.382,4.526,0.038,0.03,"2","none","thin ",693.27,"HD23456",55.76984,-50.64308
349,"HD22249",5773.0,4.59,-0.06,1.504,1.432,3.226,2.901,0.006,0.034,"2","none","thin ",105.77,"HD22249",53.2659,-46.7223
434,"HD27471",5871.0,4.19,0.11,5.592,1.087,2.768,3.947,-0.004,0.032,"2","none","thin ",123.67,"HD27471",64.5006,-45.65106
428,"HD20407",5866.0,4.44,-0.44,9.823,2.2,2.056,3.433,0.081,0.042,"2","none","thin ",544.33,"HD20407",48.77663,-45.66482
109,"HD20794",5401.0,4.45,-0.4,12.338,0.95,0.564,2.597,0.157,0.062,"2","nept","thick",2033.74,"HD20794",49.98188,-43.06978
639,"HD24112",6175.0,4.2,0.16,2.723,0.465,2.068,4.934,-0.013,0.018,"2","none","thin ",361.79,"HD24112",57.19514,-40.39923
73,"HD25105",5316.0,4.55,-0.15,5.038,4.322,0.746,2.341,0.033,0.064,"2","none","thin ",293.42,"HD25105",59.48121,-36.25991
358,"HD21938",5778.0,4.34,-0.47,12.494,0.798,1.388,3.412,0.212,0.032,"2","none","thick",310.97,"HD21938",52.70976,-37.37229
320,"HD29428",5743.0,4.45,-0.06,3.031,2.572,2.449,3.113,-0.091,0.036,"2","none","thin ",106.54,"HD29428",69.06355,-39.4145
592,"HD31103",6078.0,4.37,0.09,1.031,0.879,2.263,4.233,-0.024,0.02,"2","none","thin ",359.25,"HD31103",72.91909,-31.56732
107,"HD30669",5400.0,4.42,0.13,6.177,4.401,1.536,2.656,0.014,0.056,"2","jup ","thin ",206.43,"HD30669",72.11869,-28.41929
296,"HD26729",5718.0,4.14,0.31,5.306,1.009,1.843,3.679,-0.076,0.042,"2","none","thin ",149.82,"HD26729",63.09877,-31.5811
669,"HD25587",6258.0,4.43,-0.12,3.922,0.826,6.82,4.813,0.155,0.058,"2","none","thin ",80.67,"HD25587",60.67812,-27.48355
361,"HD29263",5780.0,4.31,0.03,6.997,1.995,1.506,3.477,0.043,0.033,"2","none","thin ",131.6,"HD29263",68.94038,-21.33993
525,"HD1581",5977.0,4.42,-0.18,4.226,2.274,2.304,3.796,-0.033,0.031,"2","none","thin ",1120.39,"HD1581",5.01775,-64.87479
324,"HD67",5746.0,4.53,0.03,1.836,1.713,3.225,2.96,0.006,0.034,"2","none","thin ",230.56,"HD67",1.36855,-61.22585
564,"HD3823",6022.0,4.21,-0.28,7.867,0.775,1.382,4.361,0.054,0.024,"2","none","thin ",792.32,"HD3823",10.10696,-59.4546
657,"HD10647",6218.0,4.45,0.0,0.79,0.637,5.136,4.606,-0.076,0.024,"2","jup ","thin ",1252.16,"HD10647",25.62215,-53.74083
99,"HD870",5381.0,4.48,-0.1,4.389,3.865,1.584,2.521,-0.019,0.053,"2","none","thin ",301.78,"HD870",3.20937,-57.91261
298,"HD2071",5719.0,4.44,-0.09,3.99,3.053,1.844,3.082,-0.043,0.034,"2","none","thin ",468.05,"HD2071",6.17729,-53.984
508,"HD9608",5954.0,4.34,-0.26,6.937,2.142,1.836,3.885,-0.059,0.038,"2","none","thin ",157.77,"HD9608",23.3171,-47.30607
431,"HD13724",5868.0,4.46,0.23,1.107,0.98,2.334,3.399,-0.076,0.032,"2","none","thin ",808.22,"HD13724",33.08616,-46.81638
438,"HD17865",5877.0,4.25,-0.57,12.523,0.678,1.385,3.843,0.101,0.045,"2","none","thick",567.74,"HD17865",42.67259,-44.0813
64,"HD15612",5256.0,4.58,-0.11,4.723,4.204,2.306,2.259,0.084,0.064,"2","none","thin ",244.71,"HD15612",37.37556,-41.36368
267,"HD10895",5685.0,4.5,-0.27,4.153,3.435,2.314,2.893,0.037,0.039,"2","none","thin ",139.32,"HD10895",26.50055,-43.91336
276,"HD12387",5700.0,4.37,-0.24,11.86,1.255,0.858,3.182,0.157,0.035,"2","none","thick",958.71,"HD12387",30.13386,-40.73125
460,"HD564",5902.0,4.46,-0.2,3.907,2.631,1.045,3.493,-0.055,0.039,"2","jup ","thin ",401.12,"HD564",2.47009,-50.26782
413,"HD3220",5846.0,4.45,-0.22,4.683,3.019,2.305,3.36,0.104,0.028,"2","none","thin ",341.26,"HD3220",8.762,-48.93455
701,"HD142",6403.0,4.37,0.09,1.393,0.808,9.759,5.592,0.028,0.061,"2","jup ","thin ",757.62,"HD142",1.5799,-49.07519
687,"HD5388",6311.0,4.03,-0.28,3.915,0.566,3.66,5.845,0.036,0.03,"2","jup ","thin ",737.91,"HD5388",13.79954,-47.40597
632,"HD8535",6158.0,4.28,0.04,2.916,1.054,1.122,4.708,-0.03,0.018,"2","jup ","thin ",474.93,"HD8535",20.90515,-41.2698
598,"HD6735",6082.0,4.37,-0.06,2.208,1.554,3.098,4.247,0.013,0.022,"2","none","thin ",550.59,"HD6735",16.88355,-41.7467
261,"HD1320",5679.0,4.47,-0.27,6.409,3.905,1.844,2.941,0.088,0.036,"2","none","thin ",338.69,"HD1320",4.31886,-43.85273
600,"HD457",6089.0,4.31,0.34,1.248,0.821,3.081,4.392,-0.052,0.026,"2","none","thin ",221.0,"HD457",2.24866,-39.73716
567,"HD4597",6025.0,4.33,-0.39,8.563,1.609,1.396,4.131,0.073,0.041,"2","none","thin ",149.69,"HD4597",11.87814,-36.9402
584,"HD9578",6055.0,4.41,0.11,0.95,0.813,0.62,4.072,-0.066,0.023,"2","jup ","thin ",532.94,"HD9578",23.32144,-38.24502
152,"HD8859",5502.0,4.44,-0.09,7.283,4.155,0.675,2.72,0.03,0.037,"2","none","thin ",161.51,"HD8859",21.70519,-29.47497
707,"HD8985",6473.0,4.69,-0.01,0.651,0.523,5.578,5.301,-0.016,0.059,"2","none","thin ",70.5,"HD8985",22.03046,-28.05125
157,"HD8638",5507.0,4.46,-0.38,11.647,1.55,0.807,2.687,0.21,0.048,"2","none","thick",262.15,"HD8638",21.20503,-27.83905
55,"HD8912",5211.0,4.53,-0.07,5.308,4.511,1.053,2.352,0.033,0.085,"2","none","thin ",218.41,"HD8912",21.86339,-25.93691
49,"HD9796",5139.0,4.45,-0.25,9.104,3.992,0.695,2.518,0.063,0.087,"2","none","thin ",368.76,"HD9796",23.83739,-21.20109
378,"HD19641",5806.0,4.34,-0.01,5.298,2.527,1.962,3.479,0.027,0.022,"2","none","thin ",395.81,"HD19641",47.11008,-37.85223
623,"HD18083",6144.0,4.56,0.03,0.947,0.84,3.688,4.094,-0.026,0.043,"2","none","thin ",91.18,"HD18083",43.31934,-34.4886
20,"HD17970",5038.0,4.54,-0.45,11.602,1.663,0.272,2.38,0.203,0.129,"2","none","thick",338.19,"HD17970",43.08204,-33.45064
141,"HD21411",5473.0,4.55,-0.26,5.692,4.315,1.848,2.467,0.071,0.045,"2","none","thin ",262.67,"HD21411",51.54632,-30.61781
351,"HD20782",5774.0,4.33,-0.06,8.3,1.962,1.042,3.423,0.013,0.024,"2","jup ","thin ",692.21,"HD20782",50.01491,-28.85407
65,"HD20781",5256.0,4.46,-0.11,7.197,4.621,0.484,2.499,0.049,0.061,"2","nept","thin ",412.1,"HD20781",50.01226,-28.78383
718,"HD20852",6813.0,4.34,-0.35,1.734,0.653,7.305,5.5,-0.011,0.049,"2","none","thin ",493.64,"HD20852",50.18577,-26.2878
405,"HD16417",5841.0,4.1,0.13,5.661,1.128,1.541,4.047,-0.073,0.022,"2","nept","thin ",995.56,"HD16417",39.2442,-34.57798
162,"HD16714",5518.0,4.44,-0.2,8.997,3.62,0.817,2.741,0.058,0.044,"2","none","thin ",231.1,"HD16714",39.94842,-33.90005
347,"HD18001",5772.0,4.4,-0.07,4.608,3.02,1.842,3.278,-0.001,0.037,"2","none","thin ",261.03,"HD18001",43.17171,-31.56219
403,"HD16784",5837.0,4.28,-0.65,12.961,0.373,1.386,3.677,0.322,0.042,"2","none","thick",232.06,"HD16784",40.16157,-30.1354
426,"HD14868",5864.0,4.38,0.02,3.826,2.348,2.305,3.548,-0.09,0.032,"2","none","thin ",86.57,"HD14868",35.79655,-29.03668
119,"HD16297",5422.0,4.52,-0.01,3.692,3.425,1.515,2.475,-0.04,0.047,"2","none","thin ",439.26,"HD16297",39.03264,-28.2186
137,"HD18386",5457.0,4.43,0.14,4.359,3.618,2.054,2.689,0.09,0.043,"2","none","thin ",523.22,"HD18386",44.15789,-22.3101
92,"HD24892",5363.0,4.05,-0.32,10.167,0.285,0.532,3.368,0.122,0.048,"2","none","thick",358.89,"HD24892",59.11945,-25.18134
482,"HD21161",5923.0,4.16,0.09,5.576,1.048,2.745,4.153,-0.081,0.031,"2","none","thin ",108.03,"HD21161",51.10306,-15.65384
3,"HD23356",4919.0,4.64,-0.15,5.785,4.948,0.483,2.0,0.239,0.11,"1-6757","none","thin ",703.58,"HD23356",55.9806,-19.1109
286,"HD16008",5712.0,4.4,-0.09,5.355,3.347,1.536,3.147,0.075,0.027,"2","jup ","thin ",134.79,"HD16008",38.45428,-19.61181
184,"HD11397",5564.0,4.47,-0.54,11.587,1.613,0.76,2.744,0.223,0.051,"2","none","thick",512.24,"HD11397",27.91887,-16.31766
104,"HD12345",5395.0,4.5,-0.21,8.226,4.365,0.778,2.492,0.039,0.053,"2","none","thin ",178.39,"HD12345",30.20313,-12.87498
300,"HD19467",5720.0,4.28,-0.14,11.364,1.283,1.554,3.404,0.095,0.025,"2","none","hamr ",537.91,"HD19467",46.8274,-13.76178
16,"HD23249",5027.0,3.81,0.07,6.859,0.951,2.032,2.5,0.156,0.079,"2","none","hamr ",2032.91,"HD23249",55.81209,-9.76339
24,"HD22049",5049.0,4.59,-0.15,5.492,4.649,1.507,2.274,0.186,0.09,"1-6757","jup ","thin ",889.93,"HD22049",53.23269,-9.45826
140,"HD21019",5468.0,3.97,-0.45,6.419,0.224,0.647,3.621,0.029,0.047,"2","none","thin ",518.45,"HD21019",50.82375,-7.7941
270,"HD16548",5690.0,3.94,0.15,4.932,0.297,2.312,4.022,-0.168,0.031,"2","none","thin ",411.75,"HD16548",39.75337,-8.9279
60,"HD18719",5241.0,4.5,-0.08,4.631,4.163,2.054,2.416,0.018,0.079,"2","none","thin ",477.42,"HD18719",45.07138,-9.03991
145,"HD19034",5477.0,4.43,-0.48,12.924,0.427,1.376,2.711,0.22,0.05,"2","none","thick",359.29,"HD19034",45.91233,-5.6663
546,"HD75328",6003.0,4.36,-0.23,6.501,1.787,2.299,3.999,-0.005,0.034,"2","none","thin ",99.73,"HD75328",130.07964,-79.67404
468,"HD82114",5912.0,4.13,0.01,6.028,0.755,3.189,4.181,-0.015,0.029,"2","none","thin ",132.07,"HD82114",140.85338,-77.89052
668,"HD62364",6255.0,4.29,-0.11,3.901,0.699,3.695,5.081,0.005,0.032,"2","none","thin ",214.67,"HD62364",113.90739,-75.54423
164,"HD81639",5522.0,4.42,-0.17,8.629,3.802,1.001,2.786,-0.034,0.083,"2","none","thin ",329.46,"HD81639",140.52528,-73.54335
365,"HD74698",5783.0,4.23,0.07,7.847,1.191,1.843,3.644,-0.005,0.029,"2","none","thin ",381.61,"HD74698",130.07301,-71.87714
620,"HD94964",6139.0,4.42,-0.07,1.98,1.496,4.115,4.356,-0.102,0.043,"2","none","thin ",108.65,"HD94964",163.83346,-75.19194
658,"HD96290",6219.0,4.39,0.03,0.992,0.772,2.546,4.731,-0.024,0.021,"2","none","thin ",180.22,"HD96290",165.99886,-74.24796
132,"HD100508",5449.0,4.46,0.39,3.902,3.334,1.54,2.621,0.036,0.08,"2","none","thin ",704.19,"HD100508",173.30454,-67.05458
533,"HD95542",5984.0,4.43,-0.04,1.489,1.304,3.694,3.798,-0.03,0.024,"2","none","thin ",357.15,"HD95542",165.07374,-66.55703
637,"HD97320",6165.0,4.43,-1.05,11.513,1.396,1.792,4.435,0.33,0.075,"2","none","thick",263.43,"HD97320",167.75306,-65.42715
616,"HD88474",6122.0,3.78,-0.48,2.883,0.011,3.683,5.572,0.007,0.042,"2","none","thin ",188.49,"HD88474",152.28936,-70.36616
440,"HD81700",5882.0,4.46,0.12,1.264,1.132,2.053,3.437,-0.049,0.025,"2","none","thin ",120.43,"HD81700",141.09562,-63.71835
695,"HD52449",6362.0,4.32,0.12,0.612,0.457,2.068,4.5,-0.055,0.027,"2","none","thin ",149.03,"HD52449",103.3185,-74.72519
646,"HD66168",6198.0,4.53,-0.03,0.804,0.668,4.599,4.365,0.019,0.031,"2","none","thin ",149.02,"HD66168",119.03805,-71.98586
542,"HD44447",5999.0,4.27,-0.22,7.708,1.021,0.83,4.166,0.065,0.023,"2","none","thin ",755.36,"HD44447",93.77508,-71.70276
82,"HD48611",5337.0,4.58,-0.36,7.654,4.603,1.391,2.292,0.061,0.065,"2","none","thin ",419.56,"HD48611",99.46072,-70.93261
608,"HD67200",6105.0,4.32,0.32,1.172,0.797,2.439,4.429,-0.04,0.028,"2","none","thin ",170.07,"HD67200",120.38558,-70.02388
344,"HD72374",5767.0,4.31,-0.09,8.043,2.294,1.542,3.447,0.034,0.024,"2","none","thin ",130.73,"HD72374",127.28085,-61.8734
201,"HD65216",5612.0,4.44,-0.17,5.08,3.745,1.308,2.88,-0.03,0.044,"2","jup ","thin ",582.36,"HD65216",118.42216,-63.64732
149,"HD63685",5497.0,4.08,0.0,9.451,0.196,0.797,3.434,0.034,0.029,"2","none","hamr ",152.2,"HD63685",116.59701,-61.43015
497,"HD65907A",5945.0,4.44,-0.31,8.048,1.979,2.299,3.658,0.196,0.026,"2","none","thick",1120.92,"HD65907",119.44548,-60.30307
71,"HD66340",5284.0,4.44,0.03,6.338,4.532,0.71,2.547,-0.049,0.054,"2","none","thin ",293.43,"HD66340",119.94833,-59.21219
58,"HD80883",5233.0,4.54,-0.25,6.133,4.752,1.076,2.334,0.084,0.073,"2","none","thin ",533.41,"HD80883",139.93386,-59.47772
537,"HD76188",5989.0,3.99,-0.44,7.009,0.289,3.09,4.694,0.12,0.049,"2","none","thin ",90.15,"HD76188",132.86558,-61.36297
477,"HD74957",5915.0,4.46,-0.18,4.737,2.613,2.302,3.53,0.032,0.03,"2","none","thin ",146.33,"HD74957",131.10021,-57.76911
444,"HD75745",5885.0,4.22,-0.78,11.784,0.509,1.796,3.925,0.321,0.05,"2","none","thick",270.42,"HD75745",132.39983,-52.4765
511,"HD69655",5961.0,4.35,-0.18,6.023,1.911,2.102,3.886,0.019,0.027,"2","none","thin ",708.4,"HD69655",123.85506,-52.0603
134,"HD72579",5449.0,4.31,0.2,7.388,3.813,0.65,2.921,-0.012,0.04,"2","none","thin ",339.27,"HD72579",127.7876,-54.08827
368,"HD78747",5788.0,4.4,-0.67,12.938,0.405,1.38,3.316,0.319,0.046,"2","none","thick",554.98,"HD78747",136.98573,-50.48245
338,"HD76440",5764.0,4.39,-0.01,5.138,2.86,1.593,3.28,0.021,0.033,"2","none","thin ",97.25,"HD76440",133.51166,-51.58424
400,"HD96116",5832.0,4.47,-0.01,2.059,1.817,2.303,3.284,-0.012,0.034,"2","none","thin ",157.13,"HD96116",166.05688,-57.76513
239,"HD102117",5657.0,4.3,0.28,6.713,1.603,1.53,3.239,-0.037,0.034,"2","jup ","thin ",908.62,"HD102117",176.21025,-58.70371
31,"HD101930",5083.0,4.48,0.16,6.325,4.83,0.489,2.476,0.038,0.095,"2","jup ","thin ",747.8,"HD101930",175.87547,-58.00688
582,"HD95860",6054.0,4.37,-0.31,7.502,1.321,0.779,4.149,-0.017,0.045,"2","none","thin ",180.14,"HD95860",165.71155,-53.24702
690,"HD89839",6314.0,4.28,0.04,1.559,0.88,4.146,5.358,-0.076,0.031,"2","jup ","thin ",331.13,"HD89839",155.16893,-53.66409
350,"HD95521",5773.0,4.45,-0.15,3.831,2.946,2.01,3.181,0.01,0.031,"2","none","thin ",503.04,"HD95521",165.20943,-49.01984
599,"HD90422",6085.0,4.02,-0.62,6.01,0.163,3.113,4.957,0.138,0.043,"2","none","thin ",291.89,"HD90422",156.37288,-45.18271
62,"HD103197",5250.0,4.54,0.22,4.872,4.294,0.602,2.338,0.026,0.086,"2","jup ","thin ",355.22,"HD103197",178.22074,-50.29282
22,"HD104006",5046.0,4.73,-0.78,9.802,3.22,0.202,1.995,0.192,0.529,"1-6757","none","thick",264.19,"HD104006",179.61672,-41.92201
215,"HD102365",5629.0,4.44,-0.29,10.474,2.38,1.833,2.909,0.053,0.047,"2","nept","thin ",2021.23,"HD102365",176.62947,-40.50036
285,"HD96423",5711.0,4.33,0.1,6.065,2.452,1.387,3.285,-0.068,0.024,"2","none","thin ",424.56,"HD96423",166.58227,-44.37332
541,"HD94444",5998.0,4.24,-0.62,11.715,1.071,0.856,4.223,0.132,0.044,"2","none","thin ",264.05,"HD94444",163.3568,-44.41133
553,"CD-436810",6011.0,4.31,-0.44,9.728,1.298,1.864,4.125,0.182,0.034,"2","none","thick",171.55,"CD-436810",167.16707,-44.25939
526,"HD93385",5977.0,4.33,0.02,4.13,1.668,2.345,3.976,-0.01,0.022,"2","nept","thin ",625.73,"HD93385",161.56298,-41.46437
292,"HD97998",5716.0,4.54,-0.42,7.759,3.804,0.802,2.875,0.064,0.051,"2","none","thin ",340.65,"HD97998",168.95424,-39.3235
