recno,Star,Teff,logg,[Fe/H],Age,e_Age,vsini,vmac,[S/Fe],e_[S/Fe],o_[S/Fe],Planet,Pop,S/N,SimbadName,_RA,_DE
457,"HD31527",5898.0,4.38,-0.17,6.671,2.115,2.055,3.641,0.011,0.027,"2","nept","thin ",435.72,"HD31527",73.90993,-23.24188
700,"HD33081",6399.0,4.32,-0.16,3.224,0.781,7.006,5.673,0.186,0.072,"2","none","thin ",111.53,"HD33081",76.78612,-17.29992
42,"HD34688",5104.0,4.47,-0.22,8.455,4.556,0.34,2.488,0.127,0.07,"2","none","thin ",212.31,"HD34688",79.67831,-14.01846
341,"HD44219",5766.0,4.16,0.04,8.436,0.913,1.524,3.745,0.038,0.022,"2","jup ","thin ",407.62,"HD44219",95.05968,-10.72501
435,"HD38277",5871.0,4.28,-0.07,7.967,1.217,1.366,3.767,0.013,0.024,"2","none","thin ",468.16,"HD38277",86.07332,-10.01673
570,"HD36379",6030.0,4.2,-0.17,6.869,0.823,2.058,4.408,0.036,0.025,"2","none","thin ",913.76,"HD36379",82.74975,-10.08108
168,"HD40397",5527.0,4.41,-0.13,10.557,2.325,0.665,2.813,0.084,0.037,"2","none","hamr ",429.94,"HD40397",89.58973,-4.65067
314,"HD38858",5733.0,4.48,-0.22,5.611,3.583,1.377,3.031,0.046,0.035,"2","jup ","thin ",1154.24,"HD38858",87.14558,-4.09464
302,"HD59711A",5722.0,4.43,-0.12,6.016,3.347,1.842,3.108,0.024,0.03,"2","none","thin ",271.52,"HD59711",112.66672,-15.99458
315,"HD56274",5734.0,4.48,-0.54,10.29,2.55,2.055,3.034,0.022,0.057,"2","none","thin ",611.4,"HD56274",108.96165,-13.04948
396,"HD62128",5828.0,4.17,0.33,4.478,0.916,2.561,3.874,-0.069,0.031,"2","none","thin ",418.23,"HD62128",115.50824,-11.85269
513,"HD59984",5962.0,4.09,-0.69,9.522,0.352,1.821,4.41,0.102,0.044,"2","none","thin ",1774.18,"HD59984",113.02401,-8.88133
291,"HD61383",5716.0,4.17,-0.49,12.071,0.371,1.382,3.615,0.169,0.035,"2","none","thick",491.21,"HD61383",114.71392,-5.46554
691,"HD68287",6318.0,4.42,0.06,0.731,0.596,5.013,5.096,-0.053,0.043,"2","none","thin ",140.94,"HD68287",122.8902,-6.01578
568,"HD71479",6026.0,4.32,0.24,2.177,1.12,2.047,4.154,-0.043,0.019,"2","none","thin ",771.05,"HD71479",126.89636,-5.14864
335,"HD69611",5762.0,4.27,-0.58,13.046,0.281,1.389,3.516,0.298,0.043,"2","none","thick",260.23,"HD69611",124.37228,-3.98962
485,"HD72659",5926.0,4.16,-0.02,6.767,0.875,1.542,4.162,-0.023,0.021,"2","jup ","thin ",331.26,"HD72659",128.51329,-1.56822
280,"HD66428",5705.0,4.29,0.25,4.642,2.285,1.849,3.353,0.004,0.035,"2","jup ","thin ",106.94,"HD66428",120.86945,-1.16271
